"","AY871813","EU282328","AB550408","JX556922","JN832500","JN832506","JN575585","JX556940","HM210481","DQ181846","DQ181856","AY732464","DQ181807","DQ917244","AM746226","AF425619","HM237348","KP858119","KT012508","AB915384","JN036390","KF041250","DQ453981","AY676385","AY676407","KF709426","KM222447","KM216708","KM222448"
"AY871813",0,0.115981119352664,0.108563722184761,0.0950775455158462,0.102494942683749,0.0917060013486176,0.0923803101820634,0.0964261631827377,0.0681051921780176,0.0566419420094403,0.0600134861766689,0.103169251517195,0.0512474713418746,0.0856372218476062,0.0519217801753203,0.119352663519892,0.0917060013486176,0.125421443020904,0.052596089008766,0.109238031018206,0.104265402843602,0.106973595125254,0.112389979688558,0.0961408259986459,0.107650643195667,0.107650643195667,0.0546218487394958,0.0269886363636364,0.0496941896024465
"EU282328",0.115981119352664,0,0.0485502360080917,0.110586648685098,0.130141604855024,0.120701281186784,0.111935266351989,0.113283884018881,0.101820633850303,0.103843560350641,0.106540795684423,0.0734996628455833,0.112609575185435,0.116655428186109,0.102494942683749,0.0613621038435603,0.118678354686446,0.0701281186783547,0.115306810519218,0.0640593391773432,0.0995260663507109,0.103588354773189,0.109004739336493,0.0981719702098849,0.102911306702776,0.114421123899797,0.118347338935574,0.0987215909090909,0.0695718654434251
"AB550408",0.108563722184761,0.0485502360080917,0,0.105192178017532,0.130815913688469,0.120026972353338,0.114632501685772,0.107215104517869,0.0950775455158462,0.0984490896830749,0.104517869184086,0.0701281186783547,0.110586648685098,0.101820633850303,0.102494942683749,0.0566419420094403,0.115306810519218,0.0586648685097775,0.113283884018881,0.0512474713418746,0.100880162491537,0.0974949221394719,0.104265402843602,0.0974949221394719,0.0981719702098849,0.107650643195667,0.111344537815126,0.0973011363636364,0.0680428134556575
"JX556922",0.0950775455158462,0.110586648685098,0.105192178017532,0,0.0573162508428861,0.0633850303438975,0.0633850303438975,0.0357383681726231,0.111260957518543,0.108563722184761,0.0930546190155092,0.112609575185435,0.0971004720161834,0.0863115306810519,0.103843560350641,0.103843560350641,0.052596089008766,0.113958192852326,0.0971004720161834,0.0997977073499663,0.090047393364929,0.0825998645903859,0.100203114421124,0.086662153012864,0.0914014895057549,0.100880162491537,0.0994397759103641,0.0845170454545454,0.0542813455657493
"JN832500",0.102494942683749,0.130141604855024,0.130815913688469,0.0573162508428861,0,0.0411328388401888,0.0498988536749831,0.0552933243425489,0.126095751854349,0.113958192852326,0.104517869184086,0.132838840188806,0.107215104517869,0.0950775455158462,0.117329737019555,0.126770060687795,0.0600134861766689,0.142953472690492,0.109912339851652,0.130815913688469,0.105619498984428,0.107650643195667,0.111712931618145,0.102911306702776,0.105619498984428,0.11509817197021,0.107142857142857,0.0887784090909091,0.0711009174311926
"JN832506",0.0917060013486176,0.120701281186784,0.120026972353338,0.0633850303438975,0.0411328388401888,0,0.0512474713418746,0.052596089008766,0.119352663519892,0.107215104517869,0.095751854349292,0.122724207687121,0.0997977073499663,0.0917060013486176,0.106540795684423,0.118004045853001,0.064733648010789,0.136884693189481,0.095751854349292,0.122049898853675,0.104265402843602,0.104942450914015,0.10832769126608,0.0988490182802979,0.102234258632363,0.111035883547732,0.09593837535014,0.0774147727272727,0.0695718654434251
"JN575585",0.0923803101820634,0.111935266351989,0.114632501685772,0.0633850303438975,0.0498988536749831,0.0512474713418746,0,0.0532703978422118,0.111935266351989,0.0977747808496291,0.0964261631827377,0.119352663519892,0.0977747808496291,0.0856372218476062,0.103843560350641,0.113958192852326,0.0593391773432232,0.132838840188806,0.0971004720161834,0.109912339851652,0.0853080568720379,0.0954637779282329,0.100880162491537,0.0792146242383209,0.0839539607312119,0.102234258632363,0.0966386554621849,0.0767045454545454,0.055045871559633
"JX556940",0.0964261631827377,0.113283884018881,0.107215104517869,0.0357383681726231,0.0552933243425489,0.052596089008766,0.0532703978422118,0,0.114632501685772,0.103843560350641,0.0991233985165205,0.120026972353338,0.103169251517195,0.0883344571813891,0.105866486850978,0.110586648685098,0.0472016183412003,0.124072825354012,0.0997977073499663,0.106540795684423,0.0927555856465809,0.093432633716994,0.102911306702776,0.0880162491536899,0.0907244414353419,0.100880162491537,0.100840336134454,0.0823863636363636,0.0573394495412844
"HM210481",0.0681051921780176,0.101820633850303,0.0950775455158462,0.111260957518543,0.126095751854349,0.119352663519892,0.111935266351989,0.114632501685772,0,0.0424814565070802,0.0539447066756574,0.0883344571813891,0.0478759271746459,0.0822656776803776,0.0559676331759946,0.104517869184086,0.103169251517195,0.107215104517869,0.0573162508428861,0.0896830748482805,0.10832769126608,0.100203114421124,0.10832769126608,0.0995260663507109,0.111712931618145,0.10832769126608,0.0644257703081232,0.0461647727272727,0.0558103975535168
"DQ181846",0.0566419420094403,0.103843560350641,0.0984490896830749,0.108563722184761,0.113958192852326,0.107215104517869,0.0977747808496291,0.103843560350641,0.0424814565070802,0,0.0532703978422118,0.0977747808496291,0.0539447066756574,0.0836142953472691,0.0498988536749831,0.111260957518543,0.0971004720161834,0.119352663519892,0.0498988536749831,0.104517869184086,0.10832769126608,0.102911306702776,0.112389979688558,0.0981719702098849,0.110358835477319,0.113744075829384,0.0602240896358543,0.0348011363636364,0.0611620795107034
