"","KP191526","KP191527","KP191525","KP191529","KJ417843","KP191493","KP191494","KP191501","KC316014","JN380810","JN380809","JN380808","JX093684","JX093699","KP757174","KP979771","JQ065930","AY422782","AY871813","EU282328","FJ687475","JX093618","JN379472","JN638329","JF297570","JN092553","JN544414","JN030343","AB550408","JX556922","JQ403524","JX476032","JF968043","JF968044","JN832500","JN832506","JN568248","JN415532","JN575585","JN575591","JX556940","JQ013408","HM210481","JF967762","JX402209","JF967773","JF967786","JF967792","DQ181846","DQ181856","AY732464","DQ181807","DQ518639","DQ518642","DQ518643","DQ917242","DQ917244","EU045312","EF436279","GQ139573","AM746226","EU005258","AB111086","AB111452","FJ931535","AF425622","AF425625","AF425627","AF425612","AF425619","HM237348","JF297573","JF297574","JF297578","JN029812","JN196578","JF804032","JF804036","EU448410","EU448419","FJ807632","FJ807634","FJ807635","FJ807637","FJ807638","FJ807639","KP858119","KT012508","KJ939388","KJ939367","KJ939402","KM216699","JQ686066","JQ686058","AB915384","KJ806918","KJ806910","KT175137","KC848581","KC848580","KF752596","KM279408","AB873104","KJ415093","KF364513","HQ336219","KM651778","JQ993232","JN036390","JF804049","DQ518674","KF041250","DQ453981","AB111085","AY338493","AY676385","AY676407","KF709426","JQ686069","JN030191","JF968094","JF968113","HM348831","JN544412","KR779789","KM222447","KM216708","AY484646","KP191499","KM222448"
"KP191526",0,0.0573770491803278,0.049936788874842,0.032319391634981,0.0986632718014003,0.0885750962772786,0.110468850353243,0.0873474630700064,0.0894736842105263,0.0854472630173565,0.0834445927903872,0.07543391188251,0.0785762256548019,0.0711887172599059,0.0235531628532974,0.0256064690026954,0.0869858395144977,0.0883344571813891,0.026298044504383,0.0836142953472691,0.095751854349292,0.0397842211732974,0.0815913688469319,0.0761968981793661,0.0829399865138233,0.0681051921780176,0.064733648010789,0.0269723533378288,0.0836142953472691,0.0734996628455833,0.0134861766689144,0.0606877950101147,0.0364126770060688,0.0148347943358058,0.0761968981793661,0.0660822656776804,0.0202292650033715,0.0795684423465948,0.064733648010789,0.0829399865138233,0.0721510451786919,0.0303438975050573,0.0323668240053945,0.066756574511126,0.0809170600134862,0.0714767363452461,0.0681051921780176,0.0802427511800404,0.0323668240053945,0.0242751180040458,0.0714767363452461,0.0195549561699259,0.0276466621712744,0.0316925151719487,0.0161834120026972,0.0364126770060688,0.0478759271746459,0.0303438975050573,0.0660822656776804,0.064733648010789,0.0222521915037087,0.0236008091706001,0.0728253540121375,0.0222521915037087,0.0289952798381659,0.0795684423465948,0.0869858395144977,0.0782198246797033,0.0883344571813891,0.0815913688469319,0.0660822656776804,0.0869858395144977,0.0842886041807148,0.0863115306810519,0.0802427511800404,0.00741739716790291,0.016857720836143,0.0310182063385031,0.0829399865138233,0.0236008091706001,0.026298044504383,0.0269723533378288,0.038435603506406,0.0350640593391773,0.0330411328388401,0.026298044504383,0.0923803101820634,0.0202292650033715,0.0802427511800404,0.0741739716790289,0.0411328388401888,0.0161834120026972,0.0748482805124747,0.0681051921780176,0.0755225893459204,0.0222521915037087,0.0242751180040458,0.0303438975050573,0.0188806473364801,0.0842886041807148,0.0397842211732974,0.0242751180040458,0.0815913688469319,0.0836142953472691,0.0250338294993234,0.084573748308525,0.069735951252539,0.0846310088016249,0.0778605280974949,0.0758293838862559,0.0812457684495599,0.0839539607312119,0.0839539607312119,0.0724441435341909,0.079891672308734,0.0683818551117129,0.079891672308734,0.083276912660799,0.0751523358158429,0.0724441435341909,0.0792146242383209,0.073121191604604,0.079891672308734,0.0860433604336044,0.0576388888888889,0.0364145658263305,0.00284090909090906,0.0221112696148359,0.0552238805970149,0.0374617737003058
"KP191527",0.0573770491803278,0,0.0587863463969659,0.0538656527249683,0.0878421387651177,0.0744544287548139,0.0976236351958896,0.0757867694283879,0.0809210526315789,0.082109479305741,0.0807743658210948,0.0847797062750334,0.0671591672263264,0.0591000671591673,0.0248990578734859,0.0330188679245284,0.078894133513149,0.0748482805124747,0.0289952798381659,0.0782198246797033,0.0883344571813891,0.0155091031692515,0.0681051921780176,0.0627107215104518,0.0708024275118004,0.0546190155091032,0.0579905596763317,0.0229265003371544,0.0741739716790289,0.0627107215104518,0.0303438975050573,0.0579905596763317,0.040458530006743,0.0310182063385031,0.066756574511126,0.0606877950101147,0.0195549561699259,0.0701281186783547,0.064733648010789,0.0714767363452461,0.0654079568442346,0.0377612946729602,0.0337154416722859,0.0579905596763317,0.0660822656776804,0.0620364126770061,0.0559676331759946,0.0721510451786919,0.0316925151719487,0.0128118678354686,0.0559676331759946,0.0202292650033715,0.0323668240053945,0.0377612946729602,0.0269723533378288,0.0269723533378288,0.0458530006743089,0.0337154416722859,0.0593391773432232,0.0573162508428861,0.0249494268374916,0.0310182063385031,0.0620364126770061,0.0242751180040458,0.0343897505057317,0.0660822656776804,0.0741739716790289,0.0674308833445718,0.0768712070128119,0.064733648010789,0.0552933243425489,0.0775455158462576,0.0768712070128119,0.0775455158462576,0.066756574511126,0.0256237356709373,0.0134861766689144,0.0391099123398516,0.0741739716790289,0.0269723533378288,0.0276466621712744,0.0337154416722859,0.026298044504383,0.0296695886716116,0.0289952798381659,0.0310182063385031,0.0782198246797033,0.0269723533378288,0.0640593391773432,0.0620364126770061,0.0289952798381659,0.0364126770060688,0.0654079568442346,0.0633850303438975,0.069453809844909,0.0323668240053945,0.0283209710047202,0.0114632501685772,0.0296695886716116,0.0741739716790289,0.0364126770060688,0.038435603506406,0.0640593391773432,0.0748482805124747,0.0277401894451962,0.0717185385656293,0.0690589031821259,0.0893703452945159,0.077183480027082,0.0751523358158429,0.0812457684495599,0.0710900473933649,0.083276912660799,0.0717670954637779,0.0792146242383209,0.0758293838862559,0.0785375761679079,0.0839539607312119,0.0683818551117129,0.0778605280974949,0.0758293838862559,0.0778605280974949,0.0717670954637779,0.0806233062330624,0.05,0.0483193277310925,0.0177556818181818,0.0221112696148359,0.0425373134328358,0.0389908256880734
"KP191525",0.049936788874842,0.0587863463969659,0,0.0456273764258555,0.109484404837683,0.0975609756097561,0.118818240205523,0.0976236351958896,0.0894736842105263,0.0807743658210948,0.0774365821094793,0.0700934579439252,0.0906648757555406,0.0819341840161182,0.0100942126514132,0.0404312668463612,0.0923803101820634,0.0964261631827377,0.016857720836143,0.0863115306810519,0.106540795684423,0.043155765340526,0.0971004720161834,0.0842886041807148,0.0971004720161834,0.0640593391773432,0.0660822656776804,0.0242751180040458,0.0869858395144977,0.0687795010114632,0.0242751180040458,0.0586648685097775,0.0465273095077545,0.0222521915037087,0.0728253540121375,0.0640593391773432,0.0269723533378288,0.0802427511800404,0.0620364126770061,0.0734996628455833,0.0674308833445718,0.0391099123398516,0.043155765340526,0.0674308833445718,0.0923803101820634,0.0660822656776804,0.0734996628455833,0.0768712070128119,0.0397842211732974,0.0337154416722859,0.0822656776803776,0.0256237356709373,0.038435603506406,0.0411328388401888,0.0209035738368173,0.0364126770060688,0.0640593391773432,0.0424814565070802,0.0687795010114632,0.069453809844909,0.0350640593391773,0.0310182063385031,0.0627107215104518,0.0276466621712744,0.0323668240053945,0.0903573836817262,0.0971004720161834,0.0856372218476062,0.0923803101820634,0.0944032366824006,0.0633850303438975,0.0997977073499663,0.0930546190155092,0.100472016183412,0.0863115306810519,0.0256237356709373,0.0222521915037087,0.038435603506406,0.0903573836817262,0.0316925151719487,0.0188806473364801,0.0134861766689144,0.0303438975050573,0.0175320296695887,0.0236008091706001,0.012137559002023,0.101820633850303,0.0337154416722859,0.0869858395144977,0.0863115306810519,0.0485502360080917,0.0276466621712744,0.0782198246797033,0.064733648010789,0.0869858395144977,0.0148347943358058,0.00606877950101148,0.040458530006743,0.0289952798381659,0.091031692515172,0.0472016183412003,0.0397842211732974,0.0890087660148348,0.078894133513149,0.0189445196211097,0.0791610284167794,0.073798239675017,0.0825998645903859,0.079891672308734,0.0717670954637779,0.073121191604604,0.079891672308734,0.0758293838862559,0.069735951252539,0.0778605280974949,0.0649966147596479,0.0819228165199729,0.0751523358158429,0.0677048070412999,0.070412999322952,0.0778605280974949,0.0690589031821259,0.0724441435341909,0.0779132791327913,0.05625,0.0476190476190477,0.00994318181818177,0.0299572039942939,0.0619402985074626,0.0382262996941896
"KP191529",0.032319391634981,0.0538656527249683,0.0456273764258555,0,0.100572883513686,0.0898587933247753,0.107257546563905,0.0886319845857418,0.0907894736842105,0.0874499332443258,0.0787716955941254,0.0761014686248331,0.0765614506380121,0.0698455339153794,0.0181695827725438,0.0262803234501348,0.0849629130141605,0.0856372218476062,0.0195549561699259,0.0876601483479433,0.0944032366824006,0.038435603506406,0.0849629130141605,0.0714767363452461,0.0829399865138233,0.0728253540121375,0.0734996628455833,0.026298044504383,0.0829399865138233,0.078894133513149,0.0101146325016858,0.0708024275118004,0.0364126770060688,0.0134861766689144,0.0856372218476062,0.0687795010114632,0.0195549561699259,0.0802427511800404,0.0714767363452461,0.0903573836817262,0.0782198246797033,0.0283209710047202,0.0323668240053945,0.0775455158462576,0.0815913688469319,0.078894133513149,0.0741739716790289,0.0842886041807148,0.0330411328388401,0.0310182063385031,0.0714767363452461,0.0182063385030344,0.0289952798381659,0.0310182063385031,0.0188806473364801,0.0316925151719487,0.0613621038435603,0.0350640593391773,0.0761968981793661,0.0761968981793661,0.026298044504383,0.0236008091706001,0.0782198246797033,0.0236008091706001,0.0289952798381659,0.0775455158462576,0.0883344571813891,0.0748482805124747,0.0856372218476062,0.0863115306810519,0.0734996628455833,0.091031692515172,0.0849629130141605,0.0883344571813891,0.0768712070128119,0.00876601483479433,0.0182063385030344,0.0303438975050573,0.0809170600134862,0.026298044504383,0.0188806473364801,0.0215778826702629,0.0337154416722859,0.0296695886716116,0.0310182063385031,0.0222521915037087,0.0923803101820634,0.016857720836143,0.0755225893459204,0.0761968981793661,0.0492245448415374,0.0148347943358058,0.0869858395144977,0.0755225893459204,0.0755225893459204,0.0182063385030344,0.0202292650033715,0.0357383681726231,0.0202292650033715,0.0815913688469319,0.0364126770060688,0.0249494268374916,0.0775455158462576,0.0930546190155092,0.0243572395128552,0.0818673883626523,0.069735951252539,0.0893703452945159,0.0839539607312119,0.069735951252539,0.0744752877454299,0.0825998645903859,0.077183480027082,0.0710900473933649,0.0846310088016249,0.073121191604604,0.0853080568720379,0.0778605280974949,0.077183480027082,0.0649966147596479,0.083276912660799,0.0717670954637779,0.0778605280974949,0.0846883468834688,0.0666666666666667,0.0350140056022409,0.00284090909090906,0.0206847360912982,0.05,0.0282874617737003
"KJ417843",0.0986632718014003,0.0878421387651177,0.109484404837683,0.100572883513686,0,0.040436456996149,0.0674373795761078,0.0385356454720617,0.0546052631578947,0.0827770360480641,0.0834445927903872,0.0787716955941254,0.0335795836131632,0.0335795836131632,0.0868102288021534,0.0653638814016172,0.0492245448415374,0.0505731625084289,0.091031692515172,0.0472016183412003,0.0532703978422118,0.0701281186783547,0.0451786918408631,0.0303438975050573,0.0438300741739717,0.0883344571813891,0.0802427511800404,0.0856372218476062,0.0505731625084289,0.0863115306810519,0.078894133513149,0.0944032366824006,0.0836142953472691,0.0782198246797033,0.102494942683749,0.0876601483479433,0.0829399865138233,0.0472016183412003,0.0863115306810519,0.103169251517195,0.0842886041807148,0.0829399865138233,0.0782198246797033,0.0815913688469319,0.0472016183412003,0.0923803101820634,0.0863115306810519,0.0896830748482805,0.0809170600134862,0.0728253540121375,0.0411328388401888,0.078894133513149,0.0802427511800404,0.0869858395144977,0.0755225893459204,0.0842886041807148,0.0849629130141605,0.0863115306810519,0.0903573836817262,0.0964261631827377,0.0795684423465948,0.0883344571813891,0.0863115306810519,0.0809170600134862,0.0775455158462576,0.038435603506406,0.0505731625084289,0.0364126770060688,0.0445043830074174,0.0364126770060688,0.095751854349292,0.0424814565070802,0.0478759271746459,0.0458530006743089,0.0222521915037087,0.078894133513149,0.0809170600134862,0.0836142953472691,0.0451786918408631,0.0890087660148348,0.0883344571813891,0.091031692515172,0.095751854349292,0.0944032366824006,0.0890087660148348,0.095751854349292,0.0445043830074174,0.0836142953472691,0.026298044504383,0.0249494268374916,0.0775455158462576,0.0809170600134862,0.0977747808496291,0.101146325016858,0.0492245448415374,0.0849629130141605,0.0856372218476062,0.0728253540121375,0.078894133513149,0.0391099123398516,0.0876601483479433,0.0809170600134862,0.0283209710047202,0.106540795684423,0.0899864682002707,0.074424898511502,0.0649966147596479,0.083276912660799,0.0744752877454299,0.0710900473933649,0.0792146242383209,0.0744752877454299,0.0758293838862559,0.0758293838862559,0.0744752877454299,0.0751523358158429,0.073121191604604,0.079891672308734,0.076506431956669,0.0656736628300609,0.069735951252539,0.0744752877454299,0.079891672308734,0.0819783197831978,0.06875,0.0896358543417367,0.0696022727272727,0.0634807417974322,0.0029850746268657,0.0504587155963303
"KP191493",0.0885750962772786,0.0744544287548139,0.0975609756097561,0.0898587933247753,0.040436456996149,0,0.0667951188182402,0.0263326910725755,0.0585526315789474,0.0774365821094793,0.0801068090787717,0.0781041388518025,0.0208193418401612,0.0188045668233714,0.082099596231494,0.0714285714285714,0.0343897505057317,0.0418071476736345,0.0869858395144977,0.0512474713418746,0.0438300741739717,0.0687795010114632,0.0303438975050573,0.0229265003371544,0.0343897505057317,0.0876601483479433,0.0795684423465948,0.0842886041807148,0.0465273095077545,0.0829399865138233,0.0768712070128119,0.0883344571813891,0.0856372218476062,0.0708024275118004,0.101820633850303,0.0890087660148348,0.0782198246797033,0.0438300741739717,0.0883344571813891,0.101146325016858,0.0842886041807148,0.0815913688469319,0.0768712070128119,0.0829399865138233,0.0343897505057317,0.0890087660148348,0.0856372218476062,0.0903573836817262,0.0842886041807148,0.0681051921780176,0.0209035738368173,0.0708024275118004,0.0849629130141605,0.0896830748482805,0.0721510451786919,0.0842886041807148,0.0734996628455833,0.0842886041807148,0.0903573836817262,0.0944032366824006,0.0734996628455833,0.0809170600134862,0.0869858395144977,0.0728253540121375,0.0782198246797033,0.0242751180040458,0.0310182063385031,0.0283209710047202,0.0424814565070802,0.0209035738368173,0.0937289278489548,0.0350640593391773,0.0323668240053945,0.0350640593391773,0.0236008091706001,0.0741739716790289,0.0775455158462576,0.0829399865138233,0.0458530006743089,0.0890087660148348,0.0822656776803776,0.0869858395144977,0.0923803101820634,0.0903573836817262,0.0896830748482805,0.0896830748482805,0.0330411328388401,0.0768712070128119,0.0175320296695887,0.0215778826702629,0.0728253540121375,0.0741739716790289,0.091031692515172,0.0984490896830749,0.038435603506406,0.0795684423465948,0.0802427511800404,0.069453809844909,0.0734996628455833,0.0289952798381659,0.0809170600134862,0.0802427511800404,0.0215778826702629,0.105866486850978,0.0872801082543978,0.0669824086603519,0.066350710900474,0.083276912660799,0.070412999322952,0.069735951252539,0.0751523358158429,0.0677048070412999,0.0778605280974949,0.073121191604604,0.073121191604604,0.073798239675017,0.0724441435341909,0.083276912660799,0.073798239675017,0.0751523358158429,0.067027758970887,0.077183480027082,0.0724441435341909,0.075880758807588,0.0694444444444444,0.084733893557423,0.0660511363636364,0.0641940085592011,0.000746268656716453,0.0558103975535168
"KP191494",0.110468850353243,0.0976236351958896,0.118818240205523,0.107257546563905,0.0674373795761078,0.0667951188182402,0,0.0629415542710341,0.0598684210526316,0.07543391188251,0.0807743658210948,0.0774365821094793,0.0436534586971121,0.0570852921423775,0.0995962314939435,0.0916442048517521,0.0357383681726231,0.0465273095077545,0.108563722184761,0.0579905596763317,0.0202292650033715,0.0863115306810519,0.0370869858395145,0.0532703978422118,0.0451786918408631,0.0944032366824006,0.0869858395144977,0.0977747808496291,0.0532703978422118,0.0802427511800404,0.0917060013486176,0.0991233985165205,0.0944032366824006,0.0917060013486176,0.109238031018206,0.101820633850303,0.0991233985165205,0.0512474713418746,0.0964261631827377,0.0997977073499663,0.0869858395144977,0.0997977073499663,0.0836142953472691,0.0869858395144977,0.0350640593391773,0.0964261631827377,0.0917060013486176,0.0937289278489548,0.0997977073499663,0.0829399865138233,0.0613621038435603,0.0842886041807148,0.104517869184086,0.109238031018206,0.0964261631827377,0.0944032366824006,0.0829399865138233,0.0923803101820634,0.103169251517195,0.109238031018206,0.0903573836817262,0.0930546190155092,0.0923803101820634,0.0890087660148348,0.0836142953472691,0.0472016183412003,0.0377612946729602,0.0438300741739717,0.0478759271746459,0.0411328388401888,0.0997977073499663,0.0330411328388401,0.026298044504383,0.0364126770060688,0.0458530006743089,0.0876601483479433,0.0964261631827377,0.101146325016858,0.0472016183412003,0.105192178017532,0.0997977073499663,0.0997977073499663,0.0984490896830749,0.104517869184086,0.105192178017532,0.0991233985165205,0.0323668240053945,0.0950775455158462,0.0539447066756574,0.0539447066756574,0.0815913688469319,0.095751854349292,0.0950775455158462,0.105192178017532,0.0445043830074174,0.0997977073499663,0.0991233985165205,0.0836142953472691,0.0997977073499663,0.0559676331759946,0.0842886041807148,0.0917060013486176,0.0620364126770061,0.106540795684423,0.106901217861976,0.06765899864682,0.0589031821259309,0.0744752877454299,0.0649966147596479,0.079891672308734,0.0839539607312119,0.0683818551117129,0.079891672308734,0.070412999322952,0.0690589031821259,0.0710900473933649,0.0710900473933649,0.080568720379147,0.0758293838862559,0.077183480027082,0.060257278266757,0.077183480027082,0.0812457684495599,0.0785907859078591,0.0791666666666667,0.092436974789916,0.0838068181818182,0.0734664764621968,0.017910447761194,0.058868501529052
"KP191501",0.0873474630700064,0.0757867694283879,0.0976236351958896,0.0886319845857418,0.0385356454720617,0.0263326910725755,0.0629415542710341,0,0.0625,0.0761014686248331,0.0767690253671562,0.0794392523364486,0.0208193418401612,0.0241773002014775,0.0807537012113055,0.066711590296496,0.0411328388401888,0.0438300741739717,0.0883344571813891,0.0559676331759946,0.0438300741739717,0.0654079568442346,0.0424814565070802,0.0289952798381659,0.0465273095077545,0.0903573836817262,0.0775455158462576,0.0829399865138233,0.0478759271746459,0.0842886041807148,0.0734996628455833,0.0937289278489548,0.0822656776803776,0.0741739716790289,0.100472016183412,0.091031692515172,0.0768712070128119,0.0438300741739717,0.0863115306810519,0.0991233985165205,0.0829399865138233,0.0809170600134862,0.0761968981793661,0.0836142953472691,0.0397842211732974,0.091031692515172,0.0849629130141605,0.0903573836817262,0.0795684423465948,0.0701281186783547,0.0283209710047202,0.0714767363452461,0.0815913688469319,0.0869858395144977,0.0721510451786919,0.0815913688469319,0.0728253540121375,0.0815913688469319,0.0917060013486176,0.0984490896830749,0.0721510451786919,0.0795684423465948,0.0903573836817262,0.0728253540121375,0.0728253540121375,0.0316925151719487,0.0411328388401888,0.0337154416722859,0.0438300741739717,0.0323668240053945,0.0964261631827377,0.0397842211732974,0.0364126770060688,0.0357383681726231,0.0242751180040458,0.0734996628455833,0.0755225893459204,0.0815913688469319,0.0478759271746459,0.0869858395144977,0.0822656776803776,0.0822656776803776,0.0890087660148348,0.0890087660148348,0.0863115306810519,0.0863115306810519,0.0377612946729602,0.0748482805124747,0.0188806473364801,0.0236008091706001,0.0728253540121375,0.0728253540121375,0.0930546190155092,0.0997977073499663,0.0397842211732974,0.0768712070128119,0.0782198246797033,0.0728253540121375,0.0741739716790289,0.0357383681726231,0.0782198246797033,0.0795684423465948,0.0236008091706001,0.103169251517195,0.0872801082543978,0.0730717185385656,0.0656736628300609,0.083276912660799,0.0744752877454299,0.0690589031821259,0.076506431956669,0.0710900473933649,0.0792146242383209,0.0683818551117129,0.0744752877454299,0.076506431956669,0.0744752877454299,0.0839539607312119,0.0751523358158429,0.073798239675017,0.070412999322952,0.0758293838862559,0.0758293838862559,0.0785907859078591,0.0659722222222222,0.084733893557423,0.0639204545454546,0.0606276747503567,0,0.0504587155963303
"KC316014",0.0894736842105263,0.0809210526315789,0.0894736842105263,0.0907894736842105,0.0546052631578947,0.0585526315789474,0.0598684210526316,0.0625,0,0.10347129506008,0.104806408544726,0.0981308411214953,0.0530557421087978,0.0577568838146407,0.0955585464333782,0.0950134770889488,0.0708024275118004,0.0424814565070802,0.100472016183412,0.0222521915037087,0.0681051921780176,0.091031692515172,0.0593391773432232,0.0539447066756574,0.0559676331759946,0.101820633850303,0.0937289278489548,0.0984490896830749,0.0364126770060688,0.0964261631827377,0.0944032366824006,0.0977747808496291,0.0896830748482805,0.0903573836817262,0.113958192852326,0.105192178017532,0.0964261631827377,0.0391099123398516,0.0977747808496291,0.108563722184761,0.0991233985165205,0.0937289278489548,0.0842886041807148,0.0971004720161834,0.0613621038435603,0.101146325016858,0.0977747808496291,0.0991233985165205,0.0917060013486176,0.0917060013486176,0.0613621038435603,0.0971004720161834,0.095751854349292,0.101820633850303,0.0971004720161834,0.0964261631827377,0.0984490896830749,0.0923803101820634,0.110586648685098,0.120026972353338,0.0890087660148348,0.0883344571813891,0.0950775455158462,0.0997977073499663,0.0802427511800404,0.0593391773432232,0.0627107215104518,0.0377612946729602,0.0343897505057317,0.0512474713418746,0.103169251517195,0.0552933243425489,0.0620364126770061,0.0613621038435603,0.0411328388401888,0.0917060013486176,0.0984490896830749,0.0964261631827377,0.026298044504383,0.101820633850303,0.101820633850303,0.0964261631827377,0.105192178017532,0.103169251517195,0.095751854349292,0.0984490896830749,0.0620364126770061,0.100472016183412,0.0620364126770061,0.0546190155091032,0.0964261631827377,0.0991233985165205,0.113958192852326,0.113283884018881,0.0485502360080917,0.0950775455158462,0.0937289278489548,0.0896830748482805,0.0984490896830749,0.0445043830074174,0.0937289278489548,0.0849629130141605,0.0613621038435603,0.115981119352664,0.100811907983762,0.0933694181326117,0.0914014895057549,0.0981719702098849,0.0941096817874069,0.0927555856465809,0.0941096817874069,0.0941096817874069,0.0995260663507109,0.0988490182802979,0.0961408259986459,0.093432633716994,0.096817874069059,0.105619498984428,0.0954637779282329,0.0954637779282329,0.0880162491536899,0.0907244414353419,0.0974949221394719,0.0989159891598916,0.0833333333333334,0.103641456582633,0.0852272727272727,0.0699001426533523,0.0261194029850746,0.0672782874617737
"JN380810",0.0854472630173565,0.082109479305741,0.0807743658210948,0.0874499332443258,0.0827770360480641,0.0774365821094793,0.07543391188251,0.0761014686248331,0.10347129506008,0,0.0440587449933244,0.048064085447263,0.0987239758226998,0.0973807924781732,0.0975773889636609,0.102425876010782,0.0809170600134862,0.0997977073499663,0.0977747808496291,0.0991233985165205,0.0849629130141605,0.0991233985165205,0.0876601483479433,0.0944032366824006,0.0971004720161834,0.0971004720161834,0.0896830748482805,0.0991233985165205,0.0890087660148348,0.0903573836817262,0.103843560350641,0.104517869184086,0.106540795684423,0.0930546190155092,0.111260957518543,0.107889413351315,0.104517869184086,0.0937289278489548,0.0984490896830749,0.106540795684423,0.0950775455158462,0.105866486850978,0.0997977073499663,0.0923803101820634,0.0856372218476062,0.0984490896830749,0.0977747808496291,0.106540795684423,0.103169251517195,0.0971004720161834,0.0977747808496291,0.0944032366824006,0.110586648685098,0.115981119352664,0.0890087660148348,0.112609575185435,0.0836142953472691,0.105192178017532,0.100472016183412,0.105866486850978,0.101146325016858,0.0997977073499663,0.0997977073499663,0.105866486850978,0.0977747808496291,0.0944032366824006,0.0923803101820634,0.0930546190155092,0.101820633850303,0.0896830748482805,0.105866486850978,0.0876601483479433,0.0795684423465948,0.0896830748482805,0.0944032366824006,0.0997977073499663,0.0997977073499663,0.107215104517869,0.103169251517195,0.109238031018206,0.105192178017532,0.105192178017532,0.101820633850303,0.105866486850978,0.109912339851652,0.100472016183412,0.095751854349292,0.105866486850978,0.0856372218476062,0.0937289278489548,0.0903573836817262,0.104517869184086,0.103843560350641,0.103843560350641,0.0856372218476062,0.0964261631827377,0.0997977073499663,0.0997977073499663,0.0991233985165205,0.101146325016858,0.107215104517869,0.108563722184761,0.0950775455158462,0.111260957518543,0.104871447902571,0.0412719891745602,0.0385917400135409,0.0419769803656059,0.042654028436019,0.042654028436019,0.0446851726472579,0.029790115098172,0.046039268788084,0.031144211238998,0.046039268788084,0.039945836154367,0.044008124576845,0.043331076506432,0.0352064996614759,0.0453622207176709,0.039945836154367,0.04062288422478,0.033175355450237,0.0128726287262872,0.0770833333333333,0.100140056022409,0.0845170454545454,0.0813124108416547,0.0522388059701493,0.0328746177370031
