"","Zhejiang","Reunion","Surabaya","Mekong Delta","Tahiti","French Polynesia","East Timor","Mekong Delta","Aragua","Bangkok","Bangkok","Kamphaeng Phet","Bangkok","Ivory Coast","Jeddah","Hawaii","Hyderabad","Goias","Surabaya","Surabaya","Dhaka","Karachi","East Timor","Bangkok","Bangkok","Surabaya","Bali","Jakarta","Bali"
"Zhejiang",0,8853913.78634319,4097578.14763238,2578528.69960818,11024396.6400188,11027681.6747604,4343139.33453345,2578528.69960818,15582642.1332729,2618929.77474272,2618929.77474272,2502075.72100374,2618929.77474272,12902792.0145194,8010080.39676716,8459747.87620813,4396743.24980621,18195315.846409,4097578.14763238,4097578.14763238,2979908.90167678,5217047.65338781,4343139.33453345,2618929.77474272,2618929.77474272,4097578.14763238,4184139.15929108,4145809.96521046,4184139.15929108
"Reunion",8853913.78634319,0,6329396.74463993,6469077.29732526,14933102.5930735,14931542.2644007,7435226.21953582,6469077.29732526,13817497.4220447,6247949.84600999,6247949.84600999,6352849.38914552,6247949.84600999,7386687.29328073,5014165.98223839,16789391.8191362,4940635.52701589,10915474.0368466,6329396.74463993,6329396.74463993,6243808.31846203,5235854.41077227,7435226.21953582,6247949.84600999,6247949.84600999,6329396.74463993,6538367.39651363,5765641.60048679,6538367.39651363
"Surabaya",4097578.14763238,6329396.74463993,0,2073265.72614502,10596484.4045048,10597973.5132551,1306699.49803153,2073265.72614502,19675002.4021748,2689499.61989379,2689499.61989379,3002873.10296327,2689499.61989379,13231165.9187851,8620701.53140716,10461549.5200138,4651144.75261956,16821519.9074533,0,0,4208172.61639259,6098907.88307653,1306699.49803153,2689499.61989379,2689499.61989379,0,297419.1871656,661776.893603968,297419.1871656
"Mekong Delta",2578528.69960818,6469077.29732526,2073265.72614502,0,11927746.0262376,11930066.3799459,3026921.05143978,0,17628686.4553853,688869.698764837,688869.698764837,967858.705808246,688869.698764837,12158471.565499,7174502.41779788,10547228.6045066,3038066.20216154,17295059.956916,2073265.72614502,2073265.72614502,2216455.12094615,4392991.91073257,3026921.05143978,688869.698764837,688869.698764837,2073265.72614502,2302984.61128536,1801217.46949281,2302984.61128536
"Tahiti",11024396.6400188,14933102.5930735,10596484.4045048,11927746.0262376,0,3784.92394954507,9294731.71104689,11927746.0262376,9538163.09342099,12567158.3061068,12567158.3061068,12736901.1859679,12567158.3061068,15960872.7647746,19034275.938571,4207430.42080589,14960405.87308,10468360.7850619,10596484.4045048,10596484.4045048,13805370.0721812,16178366.9351962,9294731.71104689,12567158.3061068,12567158.3061068,10596484.4045048,10301253.0442008,11250904.1181669,10301253.0442008
"French Polynesia",11027681.6747604,14931542.2644007,10597973.5132551,11930066.3799459,3784.92394954507,0,9296283.02442567,11930066.3799459,9536836.42444368,12569605.0801923,12569605.0801923,12739479.8648916,12569605.0801923,15958234.6176589,19037520.4285617,4210912.63028093,14962826.0626737,10465435.4037547,10597973.5132551,10597973.5132551,13808256.2982237,16181306.4703004,9296283.02442567,12569605.0801923,12569605.0801923,10597973.5132551,10302722.4219054,11252338.502338,10302722.4219054
"East Timor",4343139.33453345,7435226.21953582,1306699.49803153,3026921.05143978,9294731.71104689,9296283.02442567,0,3026921.05143978,18762496.5114566,3708302.58970758,3708302.58970758,3994452.92600733,3708302.58970758,14519536.2181519,9907792.44867308,9365469.35195418,5874442.10323093,17092480.3025907,1306699.49803153,1306699.49803153,5243209.15935179,7307902.78970563,0,3708302.58970758,3708302.58970758,1306699.49803153,1017589.37131071,1967654.45249001,1017589.37131071
"Mekong Delta",2578528.69960818,6469077.29732526,2073265.72614502,0,11927746.0262376,11930066.3799459,3026921.05143978,0,17628686.4553853,688869.698764837,688869.698764837,967858.705808246,688869.698764837,12158471.565499,7174502.41779788,10547228.6045066,3038066.20216154,17295059.956916,2073265.72614502,2073265.72614502,2216455.12094615,4392991.91073257,3026921.05143978,688869.698764837,688869.698764837,2073265.72614502,2302984.61128536,1801217.46949281,2302984.61128536
"Aragua",15582642.1332729,13817497.4220447,19675002.4021748,17628686.4553853,9538163.09342099,9536836.42444368,18762496.5114566,17628686.4553853,0,17034485.5406434,17034485.5406434,16717776.3858444,17034485.5406434,6787674.8706271,11280493.9239174,9458464.86304365,15175359.2055832,3464696.87749189,19675002.4021748,19675002.4021748,15533203.2010452,13725133.2108691,18762496.5114566,17034485.5406434,17034485.5406434,19675002.4021748,19685210.2893347,19240222.7522803,19685210.2893347
"Bangkok",2618929.77474272,6247949.84600999,2689499.61989379,688869.698764837,12567158.3061068,12569605.0801923,3708302.58970758,688869.698764837,17034485.5406434,0,0,319508.444029225,0,11532600.4152523,6521374.2109391,10908774.6206386,2393708.06739922,16836172.2427835,2689499.61989379,2689499.61989379,1538099.5423089,3715849.81959099,3708302.58970758,0,0,2689499.61989379,2939886.04407551,2313675.87569783,2939886.04407551
