"","China","China","China","China","Russia","China","China","China","New Caledonia","Singapore","Singapore","Singapore","Viet Nam","Viet Nam","Pakistan","Philippines","Mexico","Philippines","China","France","South Korea","Viet Nam","Barbados","Thailand","Thailand","Brazil","Singapore","Singapore","Indonesia","Viet Nam","Taiwan","Puerto Rico","Saint Vincent and the Grenadines","Indonesia","French Polynesia","French Polynesia","Australia","Australia","Timor","Philippines","Viet Nam","Puerto Rico","Venezuela","Indonesia","Puerto Rico","Pakistan","Philippines","Myanmar","Thailand","Thailand","Thailand","Thailand","Viet Nam","Viet Nam","Philippines","Peru","Cote d'Ivoire","Paraguay","China","Ecuador","Saudi Arabia","Ghana","India","Sri Lanka","Mexico","Malaysia","Nigeria","Philippines","Australia","United States","India","India","India","India","China","Singapore","Guam","Puerto Rico","Malaysia","Cambodia","India","India","India","India","India","India","Brazil","Indonesia","China","China","China","Indonesia","India","India","Indonesia","Malaysia","Malaysia","Myanmar","Somalia","Somalia","Argentina","Puerto Rico","Cambodia","Brazil","India","Yemen","China","Thailand","Bangladesh","Samoa","Indonesia","Pakistan","Timor","Japan","Malaysia","Thailand","Thailand","Indonesia","India","Singapore","Thailand","Indonesia","Venezuela","Singapore","Singapore","Indonesia","Indonesia","Trinidad and Tobago","China","Indonesia"
"China",0,0,0,0,2854791.75658495,0,0,0,9014133.29022484,3820884.07491228,3820884.07491228,3820884.07491228,2449615.78546478,2449615.78546478,3291044.23363317,3096480.44528784,12846444.4276899,3096480.44528784,0,8041568.72233306,2123179.55914044,2449615.78546478,14313714.2587583,2237673.62037567,2237673.62037567,16638364.5797424,3820884.07491228,3820884.07491228,4181082.61944747,2449615.78546478,2102853.3954389,13940699.1682433,14388078.8935668,4181082.61944747,12601197.440978,12601197.440978,7447679.20338422,7447679.20338422,5484821.7739991,3096480.44528784,2449615.78546478,13940699.1682433,15226287.78294,4181082.61944747,13940699.1682433,3291044.23363317,3096480.44528784,1740299.43451399,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,2449615.78546478,2449615.78546478,3096480.44528784,17048934.2718069,11267057.4641521,17852321.5542444,0,16228349.8236008,5776308.61523486,10848062.5951961,2984384.40855957,3909276.36991623,12846444.4276899,3512022.98974191,9919640.78481084,3096480.44528784,7447679.20338422,11671172.6808081,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,0,3820884.07491228,4751065.91335677,13940699.1682433,3512022.98974191,2581767.33447502,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,16638364.5797424,4181082.61944747,0,0,0,4181082.61944747,2984384.40855957,2984384.40855957,4181082.61944747,3512022.98974191,3512022.98974191,1740299.43451399,6815919.03092664,6815919.03092664,18905378.043532,13940699.1682433,2581767.33447502,16638364.5797424,2984384.40855957,5935131.75426733,0,2237673.62037567,1896692.00950746,10341728.1150096,4181082.61944747,3291044.23363317,5484821.7739991,3053706.42394554,3512022.98974191,2237673.62037567,2237673.62037567,4181082.61944747,2984384.40855957,3820884.07491228,2237673.62037567,4181082.61944747,15226287.78294,3820884.07491228,3820884.07491228,4181082.61944747,4181082.61944747,14630657.2883339,0,4181082.61944747
"China",0,0,0,0,2854791.75658495,0,0,0,9014133.29022484,3820884.07491228,3820884.07491228,3820884.07491228,2449615.78546478,2449615.78546478,3291044.23363317,3096480.44528784,12846444.4276899,3096480.44528784,0,8041568.72233306,2123179.55914044,2449615.78546478,14313714.2587583,2237673.62037567,2237673.62037567,16638364.5797424,3820884.07491228,3820884.07491228,4181082.61944747,2449615.78546478,2102853.3954389,13940699.1682433,14388078.8935668,4181082.61944747,12601197.440978,12601197.440978,7447679.20338422,7447679.20338422,5484821.7739991,3096480.44528784,2449615.78546478,13940699.1682433,15226287.78294,4181082.61944747,13940699.1682433,3291044.23363317,3096480.44528784,1740299.43451399,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,2449615.78546478,2449615.78546478,3096480.44528784,17048934.2718069,11267057.4641521,17852321.5542444,0,16228349.8236008,5776308.61523486,10848062.5951961,2984384.40855957,3909276.36991623,12846444.4276899,3512022.98974191,9919640.78481084,3096480.44528784,7447679.20338422,11671172.6808081,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,0,3820884.07491228,4751065.91335677,13940699.1682433,3512022.98974191,2581767.33447502,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,16638364.5797424,4181082.61944747,0,0,0,4181082.61944747,2984384.40855957,2984384.40855957,4181082.61944747,3512022.98974191,3512022.98974191,1740299.43451399,6815919.03092664,6815919.03092664,18905378.043532,13940699.1682433,2581767.33447502,16638364.5797424,2984384.40855957,5935131.75426733,0,2237673.62037567,1896692.00950746,10341728.1150096,4181082.61944747,3291044.23363317,5484821.7739991,3053706.42394554,3512022.98974191,2237673.62037567,2237673.62037567,4181082.61944747,2984384.40855957,3820884.07491228,2237673.62037567,4181082.61944747,15226287.78294,3820884.07491228,3820884.07491228,4181082.61944747,4181082.61944747,14630657.2883339,0,4181082.61944747
"China",0,0,0,0,2854791.75658495,0,0,0,9014133.29022484,3820884.07491228,3820884.07491228,3820884.07491228,2449615.78546478,2449615.78546478,3291044.23363317,3096480.44528784,12846444.4276899,3096480.44528784,0,8041568.72233306,2123179.55914044,2449615.78546478,14313714.2587583,2237673.62037567,2237673.62037567,16638364.5797424,3820884.07491228,3820884.07491228,4181082.61944747,2449615.78546478,2102853.3954389,13940699.1682433,14388078.8935668,4181082.61944747,12601197.440978,12601197.440978,7447679.20338422,7447679.20338422,5484821.7739991,3096480.44528784,2449615.78546478,13940699.1682433,15226287.78294,4181082.61944747,13940699.1682433,3291044.23363317,3096480.44528784,1740299.43451399,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,2449615.78546478,2449615.78546478,3096480.44528784,17048934.2718069,11267057.4641521,17852321.5542444,0,16228349.8236008,5776308.61523486,10848062.5951961,2984384.40855957,3909276.36991623,12846444.4276899,3512022.98974191,9919640.78481084,3096480.44528784,7447679.20338422,11671172.6808081,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,0,3820884.07491228,4751065.91335677,13940699.1682433,3512022.98974191,2581767.33447502,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,16638364.5797424,4181082.61944747,0,0,0,4181082.61944747,2984384.40855957,2984384.40855957,4181082.61944747,3512022.98974191,3512022.98974191,1740299.43451399,6815919.03092664,6815919.03092664,18905378.043532,13940699.1682433,2581767.33447502,16638364.5797424,2984384.40855957,5935131.75426733,0,2237673.62037567,1896692.00950746,10341728.1150096,4181082.61944747,3291044.23363317,5484821.7739991,3053706.42394554,3512022.98974191,2237673.62037567,2237673.62037567,4181082.61944747,2984384.40855957,3820884.07491228,2237673.62037567,4181082.61944747,15226287.78294,3820884.07491228,3820884.07491228,4181082.61944747,4181082.61944747,14630657.2883339,0,4181082.61944747
"China",0,0,0,0,2854791.75658495,0,0,0,9014133.29022484,3820884.07491228,3820884.07491228,3820884.07491228,2449615.78546478,2449615.78546478,3291044.23363317,3096480.44528784,12846444.4276899,3096480.44528784,0,8041568.72233306,2123179.55914044,2449615.78546478,14313714.2587583,2237673.62037567,2237673.62037567,16638364.5797424,3820884.07491228,3820884.07491228,4181082.61944747,2449615.78546478,2102853.3954389,13940699.1682433,14388078.8935668,4181082.61944747,12601197.440978,12601197.440978,7447679.20338422,7447679.20338422,5484821.7739991,3096480.44528784,2449615.78546478,13940699.1682433,15226287.78294,4181082.61944747,13940699.1682433,3291044.23363317,3096480.44528784,1740299.43451399,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,2449615.78546478,2449615.78546478,3096480.44528784,17048934.2718069,11267057.4641521,17852321.5542444,0,16228349.8236008,5776308.61523486,10848062.5951961,2984384.40855957,3909276.36991623,12846444.4276899,3512022.98974191,9919640.78481084,3096480.44528784,7447679.20338422,11671172.6808081,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,0,3820884.07491228,4751065.91335677,13940699.1682433,3512022.98974191,2581767.33447502,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,16638364.5797424,4181082.61944747,0,0,0,4181082.61944747,2984384.40855957,2984384.40855957,4181082.61944747,3512022.98974191,3512022.98974191,1740299.43451399,6815919.03092664,6815919.03092664,18905378.043532,13940699.1682433,2581767.33447502,16638364.5797424,2984384.40855957,5935131.75426733,0,2237673.62037567,1896692.00950746,10341728.1150096,4181082.61944747,3291044.23363317,5484821.7739991,3053706.42394554,3512022.98974191,2237673.62037567,2237673.62037567,4181082.61944747,2984384.40855957,3820884.07491228,2237673.62037567,4181082.61944747,15226287.78294,3820884.07491228,3820884.07491228,4181082.61944747,4181082.61944747,14630657.2883339,0,4181082.61944747
"Russia",2854791.75658495,2854791.75658495,2854791.75658495,2854791.75658495,0,2854791.75658495,2854791.75658495,2854791.75658495,10579905.9753671,6675585.37844075,6675585.37844075,6675585.37844075,5274447.9718888,5274447.9718888,4337442.69511931,5560298.44699466,10241126.3274304,5560298.44699466,2854791.75658495,6240336.79105419,3255486.36520495,5274447.9718888,11614568.3861427,5080327.81829117,5080327.81829117,14449110.546635,6675585.37844075,6675585.37844075,6949936.19730193,5274447.9718888,4368274.62228654,11135393.3422599,11660545.346819,6949936.19730193,12527517.6792337,12527517.6792337,9954561.27465365,9954561.27465365,8087185.47952676,5560298.44699466,5274447.9718888,11135393.3422599,12437287.2492765,6949936.19730193,11135393.3422599,4337442.69511931,5560298.44699466,4458280.46316225,5080327.81829117,5080327.81829117,5080327.81829117,5080327.81829117,5274447.9718888,5274447.9718888,5560298.44699466,14196242.3485759,10351837.79468,15596656.4188518,2854791.75658495,13375964.8984106,6131084.87013582,10085759.9668566,4982739.4999527,6286755.97885241,10241126.3274304,6364468.45136252,9474942.6906404,5560298.44699466,9954561.27465365,8909484.35410319,4982739.4999527,4982739.4999527,4982739.4999527,4982739.4999527,2854791.75658495,6675585.37844075,6198515.38851045,11135393.3422599,6364468.45136252,5434288.07006741,4982739.4999527,4982739.4999527,4982739.4999527,4982739.4999527,4982739.4999527,4982739.4999527,14449110.546635,6949936.19730193,2854791.75658495,2854791.75658495,2854791.75658495,6949936.19730193,4982739.4999527,4982739.4999527,6949936.19730193,6364468.45136252,6364468.45136252,4458280.46316225,7909274.10593748,7909274.10593748,17323651.1424802,11135393.3422599,5434288.07006741,14449110.546635,4982739.4999527,6766202.6043328,2854791.75658495,5080327.81829117,4355830.75015835,10950196.8074995,6949936.19730193,4337442.69511931,8087185.47952676,3633444.20044058,6364468.45136252,5080327.81829117,5080327.81829117,6949936.19730193,4982739.4999527,6675585.37844075,5080327.81829117,6949936.19730193,12437287.2492765,6675585.37844075,6675585.37844075,6949936.19730193,6949936.19730193,11911645.908221,2854791.75658495,6949936.19730193
"China",0,0,0,0,2854791.75658495,0,0,0,9014133.29022484,3820884.07491228,3820884.07491228,3820884.07491228,2449615.78546478,2449615.78546478,3291044.23363317,3096480.44528784,12846444.4276899,3096480.44528784,0,8041568.72233306,2123179.55914044,2449615.78546478,14313714.2587583,2237673.62037567,2237673.62037567,16638364.5797424,3820884.07491228,3820884.07491228,4181082.61944747,2449615.78546478,2102853.3954389,13940699.1682433,14388078.8935668,4181082.61944747,12601197.440978,12601197.440978,7447679.20338422,7447679.20338422,5484821.7739991,3096480.44528784,2449615.78546478,13940699.1682433,15226287.78294,4181082.61944747,13940699.1682433,3291044.23363317,3096480.44528784,1740299.43451399,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,2449615.78546478,2449615.78546478,3096480.44528784,17048934.2718069,11267057.4641521,17852321.5542444,0,16228349.8236008,5776308.61523486,10848062.5951961,2984384.40855957,3909276.36991623,12846444.4276899,3512022.98974191,9919640.78481084,3096480.44528784,7447679.20338422,11671172.6808081,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,0,3820884.07491228,4751065.91335677,13940699.1682433,3512022.98974191,2581767.33447502,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,16638364.5797424,4181082.61944747,0,0,0,4181082.61944747,2984384.40855957,2984384.40855957,4181082.61944747,3512022.98974191,3512022.98974191,1740299.43451399,6815919.03092664,6815919.03092664,18905378.043532,13940699.1682433,2581767.33447502,16638364.5797424,2984384.40855957,5935131.75426733,0,2237673.62037567,1896692.00950746,10341728.1150096,4181082.61944747,3291044.23363317,5484821.7739991,3053706.42394554,3512022.98974191,2237673.62037567,2237673.62037567,4181082.61944747,2984384.40855957,3820884.07491228,2237673.62037567,4181082.61944747,15226287.78294,3820884.07491228,3820884.07491228,4181082.61944747,4181082.61944747,14630657.2883339,0,4181082.61944747
"China",0,0,0,0,2854791.75658495,0,0,0,9014133.29022484,3820884.07491228,3820884.07491228,3820884.07491228,2449615.78546478,2449615.78546478,3291044.23363317,3096480.44528784,12846444.4276899,3096480.44528784,0,8041568.72233306,2123179.55914044,2449615.78546478,14313714.2587583,2237673.62037567,2237673.62037567,16638364.5797424,3820884.07491228,3820884.07491228,4181082.61944747,2449615.78546478,2102853.3954389,13940699.1682433,14388078.8935668,4181082.61944747,12601197.440978,12601197.440978,7447679.20338422,7447679.20338422,5484821.7739991,3096480.44528784,2449615.78546478,13940699.1682433,15226287.78294,4181082.61944747,13940699.1682433,3291044.23363317,3096480.44528784,1740299.43451399,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,2449615.78546478,2449615.78546478,3096480.44528784,17048934.2718069,11267057.4641521,17852321.5542444,0,16228349.8236008,5776308.61523486,10848062.5951961,2984384.40855957,3909276.36991623,12846444.4276899,3512022.98974191,9919640.78481084,3096480.44528784,7447679.20338422,11671172.6808081,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,0,3820884.07491228,4751065.91335677,13940699.1682433,3512022.98974191,2581767.33447502,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,16638364.5797424,4181082.61944747,0,0,0,4181082.61944747,2984384.40855957,2984384.40855957,4181082.61944747,3512022.98974191,3512022.98974191,1740299.43451399,6815919.03092664,6815919.03092664,18905378.043532,13940699.1682433,2581767.33447502,16638364.5797424,2984384.40855957,5935131.75426733,0,2237673.62037567,1896692.00950746,10341728.1150096,4181082.61944747,3291044.23363317,5484821.7739991,3053706.42394554,3512022.98974191,2237673.62037567,2237673.62037567,4181082.61944747,2984384.40855957,3820884.07491228,2237673.62037567,4181082.61944747,15226287.78294,3820884.07491228,3820884.07491228,4181082.61944747,4181082.61944747,14630657.2883339,0,4181082.61944747
"China",0,0,0,0,2854791.75658495,0,0,0,9014133.29022484,3820884.07491228,3820884.07491228,3820884.07491228,2449615.78546478,2449615.78546478,3291044.23363317,3096480.44528784,12846444.4276899,3096480.44528784,0,8041568.72233306,2123179.55914044,2449615.78546478,14313714.2587583,2237673.62037567,2237673.62037567,16638364.5797424,3820884.07491228,3820884.07491228,4181082.61944747,2449615.78546478,2102853.3954389,13940699.1682433,14388078.8935668,4181082.61944747,12601197.440978,12601197.440978,7447679.20338422,7447679.20338422,5484821.7739991,3096480.44528784,2449615.78546478,13940699.1682433,15226287.78294,4181082.61944747,13940699.1682433,3291044.23363317,3096480.44528784,1740299.43451399,2237673.62037567,2237673.62037567,2237673.62037567,2237673.62037567,2449615.78546478,2449615.78546478,3096480.44528784,17048934.2718069,11267057.4641521,17852321.5542444,0,16228349.8236008,5776308.61523486,10848062.5951961,2984384.40855957,3909276.36991623,12846444.4276899,3512022.98974191,9919640.78481084,3096480.44528784,7447679.20338422,11671172.6808081,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,0,3820884.07491228,4751065.91335677,13940699.1682433,3512022.98974191,2581767.33447502,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,16638364.5797424,4181082.61944747,0,0,0,4181082.61944747,2984384.40855957,2984384.40855957,4181082.61944747,3512022.98974191,3512022.98974191,1740299.43451399,6815919.03092664,6815919.03092664,18905378.043532,13940699.1682433,2581767.33447502,16638364.5797424,2984384.40855957,5935131.75426733,0,2237673.62037567,1896692.00950746,10341728.1150096,4181082.61944747,3291044.23363317,5484821.7739991,3053706.42394554,3512022.98974191,2237673.62037567,2237673.62037567,4181082.61944747,2984384.40855957,3820884.07491228,2237673.62037567,4181082.61944747,15226287.78294,3820884.07491228,3820884.07491228,4181082.61944747,4181082.61944747,14630657.2883339,0,4181082.61944747
"New Caledonia",9014133.29022484,9014133.29022484,9014133.29022484,9014133.29022484,10579905.9753671,9014133.29022484,9014133.29022484,9014133.29022484,0,7158458.39505635,7158458.39505635,7158458.39505635,7365256.73516617,7365256.73516617,11737852.6437562,6079441.05510627,11098418.3570435,6079441.05510627,9014133.29022484,16820062.0103467,7445741.7927008,7365256.73516617,15166079.8008562,8146534.40543015,8146534.40543015,14367791.7291134,7158458.39505635,7158458.39505635,6037536.86974901,7365256.73516617,6912157.8021884,14570066.4145952,14978201.4186674,6037536.86974901,4725825.07857364,4725825.07857364,3290391.35341603,3290391.35341603,4582700.99686999,6079441.05510627,7365256.73516617,14570066.4145952,14190238.966528,6037536.86974901,14570066.4145952,11737852.6437562,6079441.05510627,8927014.00117483,8146534.40543015,8146534.40543015,8146534.40543015,8146534.40543015,7365256.73516617,7365256.73516617,6079441.05510627,12611599.1856195,18254814.6725517,13171259.3402353,9014133.29022484,12648239.2065069,13944298.7220085,17989719.584862,10482711.87463,9794532.60465786,11098418.3570435,7475389.41607584,17230093.1372141,6079441.05510627,3290391.35341603,12129784.251364,10482711.87463,10482711.87463,10482711.87463,10482711.87463,9014133.29022484,7158458.39505635,4429820.44418134,14570066.4145952,7475389.41607584,7593127.40100581,10482711.87463,10482711.87463,10482711.87463,10482711.87463,10482711.87463,10482711.87463,14367791.7291134,6037536.86974901,9014133.29022484,9014133.29022484,9014133.29022484,6037536.86974901,10482711.87463,10482711.87463,6037536.86974901,7475389.41607584,7475389.41607584,8927014.00117483,13274963.9006348,13274963.9006348,11677354.4653143,14570066.4145952,7593127.40100581,14367791.7291134,10482711.87463,13393747.4455766,9014133.29022484,8146534.40543015,9529530.91029489,2493405.52471788,6037536.86974901,11737852.6437562,4582700.99686999,6946485.54038933,7475389.41607584,8146534.40543015,8146534.40543015,6037536.86974901,10482711.87463,7158458.39505635,8146534.40543015,6037536.86974901,14190238.966528,7158458.39505635,7158458.39505635,6037536.86974901,6037536.86974901,14907703.3850038,9014133.29022484,6037536.86974901
"Singapore",3820884.07491228,3820884.07491228,3820884.07491228,3820884.07491228,6675585.37844075,3820884.07491228,3820884.07491228,3820884.07491228,7158458.39505635,0,0,0,1488493.87190405,1488493.87190405,4853285.95832968,2354725.54235322,16046794.1189694,2354725.54235322,3820884.07491228,10792985.7221999,4555167.66210567,1488493.87190405,17580575.9058108,1635466.02050583,1635466.02050583,17003859.3673993,0,0,1149074.39940594,1488493.87190405,3087267.97281009,17603616.2981798,17736195.6084318,1149074.39940594,11840914.6280812,11840914.6280812,4369704.41217467,4369704.41217467,2589576.86089883,2354725.54235322,1488493.87190405,17603616.2981798,18654448.2518366,1149074.39940594,17603616.2981798,4853285.95832968,2354725.54235322,2429431.14579191,1635466.02050583,1635466.02050583,1635466.02050583,1635466.02050583,1488493.87190405,1488493.87190405,2354725.54235322,19128293.9596228,12133734.947178,16911125.1987321,3820884.07491228,19805896.8410683,6792674.46162002,11632817.7020787,3439525.40055758,2655701.14827619,16046794.1189694,376743.395065706,10560087.0835026,2354725.54235322,4369704.41217467,15299459.5912373,3439525.40055758,3439525.40055758,3439525.40055758,3439525.40055758,3820884.07491228,0,4706906.62483292,17603616.2981798,376743.395065706,1246868.50918216,3439525.40055758,3439525.40055758,3439525.40055758,3439525.40055758,3439525.40055758,3439525.40055758,17003859.3673993,1149074.39940594,3820884.07491228,3820884.07491228,3820884.07491228,1149074.39940594,3439525.40055758,3439525.40055758,1149074.39940594,376743.395065706,376743.395065706,2429431.14579191,6415603.47145567,6415603.47145567,15706492.8646045,17603616.2981798,1246868.50918216,17003859.3673993,3439525.40055758,6267415.14338055,3820884.07491228,1635466.02050583,2866201.19013325,9412926.01211619,1149074.39940594,4853285.95832968,2589576.86089883,5241132.89300136,376743.395065706,1635466.02050583,1635466.02050583,1149074.39940594,3439525.40055758,0,1635466.02050583,1149074.39940594,18654448.2518366,0,0,1149074.39940594,1149074.39940594,17898362.0186249,3820884.07491228,1149074.39940594
