"","FJ461303","KP723473","FJ196847","FJ196846","FJ196845","FJ196842","GU131863","EU848545","GU131792","JQ915076","JQ922546","AY732483","FJ898385","LC011949","KC692498","EU482814","FJ882548","HM181971","JQ955624","JX475906","KC294216","KC131142","JQ922549","JQ922550","KC964095","JQ922551","JQ922552","JQ922553","FJ410195","DQ181801","EU482666","FJ744745","AY858037","KF041254","JQ922555","KC762690","KF954948","KJ579242","KF041260","FJ196849","FJ024476"
"FJ461303",0,0.0251547607349907,0.0178834627100324,0.0218138940748747,0.0176869411417903,0.0197504176083325,0.0191608529036061,0.0163112901640955,0.0141495529134322,0.0232878058366905,0.0197504176083325,0.0148373784022796,0.0129704235039796,0.0107104254691952,0.02230519799548,0.00943303527562145,0.0104156431168321,0.0367603695694909,0.0396107725574996,0.035286023196383,0.0359740515038333,0.0403970906231571,0.0400039315903283,0.0362689207784549,0.0331236485158246,0.0399056418321211,0.0381364261843916,0.0389227442500492,0.0335168075486534,0.0377432671515628,0.034303125614311,0.0369569490859053,0.0345098810343133,0.0389342247566611,0.0377543997640351,0.0352964310293973,0.037361124766493,0.038476677819327,0.040051171029325,0.0421176933674473,0.0422160991930722
"KP723473",0.0251547607349907,0,0.0202417215289378,0.0199469391765746,0.0213225901542694,0.02230519799548,0.0173921587894271,0.0196521568242115,0.0232878058366905,0.0211260685860273,0.0180799842782745,0.0222069372113589,0.0217156332907537,0.0245651960302643,0.0201434607448168,0.0226982411319643,0.0225017195637222,0.038333005700806,0.03784155690977,0.0350894436799686,0.0384312954590131,0.0374483978769412,0.0348928641635542,0.0342048358561038,0.0371535286023197,0.0366620798112837,0.0329270689994102,0.0354826027127974,0.0368586593276981,0.0412816984470218,0.0374483978769412,0.0394141930410851,0.0327401435453741,0.0327401435453741,0.0330350997935306,0.0329367810441451,0.0310687248058205,0.0361149380043299,0.0378862428655776,0.0376894312143279,0.0392639244243259
"FJ196847",0.0178834627100324,0.0202417215289378,0,0.0181782450623956,0.0172938980053061,0.0181782450623956,0.0201434607448168,0.0186695489830009,0.0155252038911271,0.0207330254495431,0.0159182470276112,0.0124791195833742,0.0130686842881006,0.0176869411417903,0.0208312862336641,0.0149356391864007,0.0172938980053061,0.0397090623157067,0.0401022213485355,0.0372518183605268,0.0380381364261844,0.0429526243365441,0.0397090623157067,0.0362689207784549,0.0348928641635542,0.0402005111067427,0.0368586593276981,0.0389227442500492,0.0354826027127974,0.0427560448201297,0.0387261647336348,0.0397090623157067,0.0332317372923017,0.0388359060072756,0.036967849768951,0.0355913872775538,0.0367712122701799,0.0380830545168274,0.0432985632749459,0.0423145050186972,0.0431017516236961
"FJ196846",0.0218138940748747,0.0199469391765746,0.0181782450623956,0,0.0144443352657955,0.0182765058465166,0.0212243293701484,0.0150338999705217,0.0184730274147588,0.0130686842881006,0.0213225901542694,0.017195637221185,0.0190625921194851,0.0199469391765746,0.0226982411319643,0.0199469391765746,0.0212243293701484,0.0411834086888146,0.0424611755455082,0.0402005111067427,0.0396107725574996,0.0435423628857873,0.041379988205229,0.0361706310202476,0.0368586593276981,0.0443286809514448,0.0351877334381757,0.0402988008649499,0.0376449773933556,0.0420680165126793,0.0388244544918419,0.0421663062708866,0.0341166060367712,0.0403106872480582,0.0389342247566611,0.0359846622750959,0.0388359060072756,0.035229285573706,0.0370989962605787,0.0396575477268254,0.041625664239323
"FJ196845",0.0176869411417903,0.0213225901542694,0.0172938980053061,0.0144443352657955,0,0.0155252038911271,0.0215191117225115,0.0163112901640955,0.0184730274147588,0.0176869411417903,0.0184730274147588,0.0165078117323376,0.0175886803576693,0.0169008548688219,0.0214208509383905,0.0159182470276112,0.017195637221185,0.03784155690977,0.0392176135246707,0.0359740515038333,0.0373501081187341,0.0396107725574996,0.0380381364261844,0.0327304894829958,0.0346962846471398,0.0409868291724003,0.0340082563396894,0.0377432671515628,0.0336150973068606,0.0394141930410851,0.0354826027127974,0.0397090623157067,0.0322485497984466,0.0363779372726379,0.0348048372824697,0.0336250122898437,0.0340182872873857,0.0361149380043299,0.0390671127730762,0.0407400118086991,0.0419208817161976
"FJ196842",0.0197504176083325,0.02230519799548,0.0181782450623956,0.0182765058465166,0.0155252038911271,0,0.0219121548589958,0.0178834627100324,0.0207330254495431,0.0182765058465166,0.0234843274049327,0.0198486783924535,0.018866070551243,0.0169991156529429,0.0247617175985064,0.0162130293799745,0.0193573744718483,0.03784155690977,0.0400039315903283,0.035286023196383,0.0368586593276981,0.038333005700806,0.0401022213485355,0.0355808924710045,0.0335168075486534,0.0401022213485355,0.0358757617456261,0.03784155690977,0.0316493021427168,0.0388244544918419,0.0341065460978967,0.03784155690977,0.0326418247959886,0.0370661685183364,0.0354930685281684,0.0345098810343133,0.0349031560318552,0.0345404447943318,0.0389687069474512,0.0367053729580791,0.037591025388703
"GU131863",0.0191608529036061,0.0173921587894271,0.0201434607448168,0.0212243293701484,0.0215191117225115,0.0219121548589958,0,0.0178834627100324,0.0196521568242115,0.0204382430971799,0.0167043333005797,0.0207330254495431,0.0178834627100324,0.0192591136877273,0.0183747666306378,0.0184730274147588,0.0193573744718483,0.0379398466679772,0.0384312954590131,0.0330253587576175,0.0380381364261844,0.0393159032828779,0.0380381364261844,0.0335168075486534,0.0345979948889326,0.0372518183605268,0.0337133870650678,0.0337133870650678,0.036367210536662,0.0385295852172204,0.0348928641635542,0.0387261647336348,0.0355913872775538,0.0392291810048176,0.0378527185134205,0.036967849768951,0.0361812997738669,0.0397559535524503,0.0397559535524503,0.0417240700649478,0.042412910844322
"EU848545",0.0163112901640955,0.0196521568242115,0.0186695489830009,0.0150338999705217,0.0163112901640955,0.0178834627100324,0.0178834627100324,0,0.0187678097671219,0.0190625921194851,0.0190625921194851,0.0147391176181586,0.0180799842782745,0.0180799842782745,0.0193573744718483,0.0172938980053061,0.0167043333005797,0.0417731472380578,0.0425594653037153,0.0376449773933556,0.0409868291724003,0.042854334578337,0.0405936701395715,0.0367603695694909,0.0379398466679772,0.0431492038529585,0.0359740515038333,0.0402005111067427,0.0367603695694909,0.0431492038529585,0.0396107725574996,0.0435423628857873,0.0367712122701799,0.0410972372431423,0.0383443122603481,0.0367712122701799,0.0378527185134205,0.0355245030505806,0.0380830545168274,0.0360165321787049,0.0385750836449518
"GU131792",0.0141495529134322,0.0232878058366905,0.0155252038911271,0.0184730274147588,0.0184730274147588,0.0207330254495431,0.0196521568242115,0.0187678097671219,0,0.0225999803478432,0.018866070551243,0.0144443352657955,0.0073695588090793,0.013756509776948,0.0226982411319643,0.0133634666404638,0.0139530313451901,0.0379398466679772,0.042362885787301,0.0392176135246707,0.0371535286023197,0.044918419500688,0.0401022213485355,0.0360723412620405,0.0357774719874189,0.042362885787301,0.0357774719874189,0.0389227442500492,0.0347945744053469,0.0407902496559859,0.0360723412620405,0.0394141930410851,0.0355913872775538,0.0418837872382263,0.0387375872578901,0.0378527185134205,0.0401140497492872,0.0403463885061995,0.0422160991930722,0.0441842157055697,0.0441842157055697
"JQ915076",0.0232878058366905,0.0211260685860273,0.0207330254495431,0.0130686842881006,0.0176869411417903,0.0182765058465166,0.0204382430971799,0.0190625921194851,0.0225999803478432,0,0.0236808489731748,0.020634764665422,0.020634764665422,0.0195538960400904,0.0253512823032328,0.0194556352559694,0.0236808489731748,0.0388244544918419,0.0393159032828779,0.0372518183605268,0.0366620798112837,0.0393159032828779,0.0395124827992923,0.0361706310202476,0.0341065460978967,0.0412816984470218,0.0336150973068606,0.03784155690977,0.034303125614311,0.0382347159425988,0.0365637900530764,0.0398073520739139,0.0344115622849277,0.0395241372529741,0.0403106872480582,0.0368695310195655,0.038540949759119,0.0361149380043299,0.0379846486912025,0.0390671127730762,0.0411336351111986
