"","FJ639670","FJ461303","KF289073","KP723473","FJ196847","FJ196846","FJ196845","FJ196842","GU131863","JF459993","JN638344","EU848545","GU131792","EF457905","KF184975","KJ755855","AY722803","JQ915076","JQ922546","LC128301","AY732483","KP406801","FJ898385","LC011949","JN903578","KC692498","EU482814","FJ882548","GU131900","HM181971","GU131843","JQ955624","KF955359","JX475906","KC294216","KF744397","KF744399","KF744400","KJ918750","KF704354","KC131142","JQ922549","JQ922550","JF730044","KC964095","JQ922551","JQ922552","JQ922553","JX966380","GQ868591","KM279536","FJ410195","FJ467493","EU687233","EU003591","EF457904","EF105385","EF105379","DQ181801","EU482666","GQ398258","GQ398269","FJ744745","KF955477","KF824903","AY496879","AY858037","KF041254","JQ922555","KC762690","FJ182038","FJ882572","KF954948","GQ199879","KJ579242","GQ398256","KF041260","FJ196849","EF457906","KP140942","FJ024476","JF262783","JQ922559"
"FJ639670",0,0.00844793713163061,0.0187678097671219,0.0233860666208117,0.0159182470276112,0.020634764665422,0.0172938980053061,0.0186695489830009,0.0191608529036061,0.0146408568340375,0.0156234646752481,0.0169008548688219,0.0126756411516163,0.0162130293799745,0.0192591136877273,0.0149356391864007,0.0182765058465166,0.0225017195637222,0.0181782450623956,0.0190625921194851,0.013658248992827,0.0231895450525695,0.0112017293898006,0.00746781959320031,0.020634764665422,0.0221086764272379,0.00776260194556355,0.00648521175198979,0.0365637900530764,0.0376449773933556,0.0402988008649499,0.0405936701395715,0.0390210340082563,0.0353843129545901,0.0369569490859053,0.0416748574798506,0.0384312954590131,0.0368586593276981,0.0402005111067427,0.0355808924710045,0.0416748574798506,0.0399056418321211,0.0350894436799686,0.0350894436799686,0.0334185177904462,0.0405936701395715,0.0370552388441124,0.0375466876351485,0.0390210340082563,0.0347945744053469,0.0419697267544722,0.034303125614311,0.0362689207784549,0.0334185177904462,0.0353843129545901,0.0346962846471398,0.0345979948889326,0.0347945744053469,0.0395124827992923,0.0355808924710045,0.0365637900530764,0.0379398466679772,0.0386278749754275,0.0316586373021335,0.0322485497984466,0.03195359355029,0.0327401435453741,0.037557762265264,0.0362796185232523,0.0332317372923017,0.0359846622750959,0.0339199685380002,0.0349031560318552,0.0405432001574493,0.0376894312143279,0.0410352292855737,0.0406416059830742,0.0422160991930722,0.0430033457980712,0.040051171029325,0.0422160991930722,0.0448730564849439,0.0434953749261956
"FJ461303",0.00844793713163061,0,0.0202417215289378,0.0251547607349907,0.0178834627100324,0.0218138940748747,0.0176869411417903,0.0197504176083325,0.0191608529036061,0.0168025940847008,0.0160165078117324,0.0163112901640955,0.0141495529134322,0.0168025940847008,0.0195538960400904,0.0145425960499165,0.0193573744718483,0.0232878058366905,0.0197504176083325,0.0194556352559694,0.0148373784022796,0.0243686744620222,0.0129704235039796,0.0107104254691952,0.0221086764272379,0.02230519799548,0.00943303527562145,0.0104156431168321,0.036367210536662,0.0367603695694909,0.0394141930410851,0.0396107725574996,0.038333005700806,0.035286023196383,0.0359740515038333,0.0422645960290937,0.0388244544918419,0.0354826027127974,0.0407902496559859,0.0339099665814823,0.0403970906231571,0.0400039315903283,0.0362689207784549,0.0337133870650678,0.0331236485158246,0.0399056418321211,0.0381364261843916,0.0389227442500492,0.0395124827992923,0.0344997051307254,0.0416748574798506,0.0335168075486534,0.0371535286023197,0.0345979948889326,0.0358757617456261,0.0344014153725182,0.0353843129545901,0.0345979948889326,0.0377432671515628,0.034303125614311,0.0361706310202476,0.0365637900530764,0.0369569490859053,0.0339199685380002,0.0350997935306263,0.0350014747812408,0.0345098810343133,0.0389342247566611,0.0377543997640351,0.0352964310293973,0.0384426310097336,0.0357880247763248,0.037361124766493,0.0404447943318245,0.038476677819327,0.0404447943318245,0.040051171029325,0.0421176933674473,0.0438889982286952,0.0411336351111986,0.0422160991930722,0.0440858098799449,0.0440858098799449
"KF289073",0.0187678097671219,0.0202417215289378,0,0.0162130293799745,0.0181782450623956,0.018866070551243,0.0183747666306378,0.0227965019160853,0.0131669450722217,0.0215191117225115,0.0183747666306378,0.0185712881988799,0.0186695489830009,0.0166060725164587,0.0141495529134322,0.0181782450623956,0.0149356391864007,0.0219121548589958,0.0138547705610691,0.0215191117225115,0.0179817234941535,0.0181782450623956,0.0175886803576693,0.018964331335364,0.0141495529134322,0.0144443352657955,0.0197504176083325,0.0194556352559694,0.0380381364261844,0.0400039315903283,0.0412816984470218,0.0395124827992923,0.0391193237664635,0.0355808924710045,0.0379398466679772,0.0421663062708866,0.0399056418321211,0.0389227442500492,0.0389227442500492,0.0367603695694909,0.0411834086888146,0.0377432671515628,0.0345979948889326,0.0364655002948693,0.0367603695694909,0.0394141930410851,0.0337133870650678,0.0389227442500492,0.0392176135246707,0.0349911539217613,0.0407902496559859,0.0376449773933556,0.0388244544918419,0.0359740515038333,0.0420680165126793,0.0415765677216434,0.0416748574798506,0.0395124827992923,0.0405936701395715,0.036367210536662,0.0374483978769412,0.0389227442500492,0.0407902496559859,0.0350014747812408,0.0346081997836988,0.0346081997836988,0.0364762560220234,0.0402123684986727,0.0376560810146495,0.0366728935207944,0.038147674761577,0.0366728935207944,0.0366728935207944,0.0426097224955717,0.0396575477268254,0.0398543593780751,0.0408384176343239,0.0434953749261956,0.0441842157055697,0.0429049399724464,0.0446762448336941,0.0450698681361936,0.0443810273568195
"KP723473",0.0233860666208117,0.0251547607349907,0.0162130293799745,0,0.0202417215289378,0.0199469391765746,0.0213225901542694,0.02230519799548,0.0173921587894271,0.0246634568143854,0.0201434607448168,0.0196521568242115,0.0232878058366905,0.02230519799548,0.0183747666306378,0.0219121548589958,0.0162130293799745,0.0211260685860273,0.0180799842782745,0.0251547607349907,0.0222069372113589,0.0128721627198585,0.0217156332907537,0.0245651960302643,0.018964331335364,0.0201434607448168,0.0226982411319643,0.0225017195637222,0.0376449773933556,0.038333005700806,0.03784155690977,0.03784155690977,0.0372518183605268,0.0350894436799686,0.0384312954590131,0.0398073520739139,0.0390210340082563,0.0394141930410851,0.0360723412620405,0.0373501081187341,0.0374483978769412,0.0348928641635542,0.0342048358561038,0.0357774719874189,0.0371535286023197,0.0366620798112837,0.0329270689994102,0.0354826027127974,0.03784155690977,0.0351877334381757,0.0397090623157067,0.0368586593276981,0.0395124827992923,0.030764694318852,0.0407902496559859,0.0401022213485355,0.0407902496559859,0.0395124827992923,0.0412816984470218,0.0374483978769412,0.0340082563396894,0.0391193237664635,0.0394141930410851,0.0325435060466031,0.0323468685478321,0.0317569560515191,0.0327401435453741,0.0327401435453741,0.0330350997935306,0.0329367810441451,0.0327401435453741,0.0306754498082784,0.0310687248058205,0.0372958079118284,0.0361149380043299,0.035229285573706,0.0378862428655776,0.0376894312143279,0.0407400118086991,0.0395591419012006,0.0392639244243259,0.0403463885061995,0.0402479826805747
"FJ196847",0.0159182470276112,0.0178834627100324,0.0181782450623956,0.0202417215289378,0,0.0181782450623956,0.0172938980053061,0.0181782450623956,0.0201434607448168,0.0173921587894271,0.0163112901640955,0.0186695489830009,0.0155252038911271,0.0157217254593691,0.0185712881988799,0.0187678097671219,0.0225017195637222,0.0207330254495431,0.0159182470276112,0.0233860666208117,0.0124791195833742,0.0228947627002063,0.0130686842881006,0.0176869411417903,0.0198486783924535,0.0208312862336641,0.0149356391864007,0.0172938980053061,0.0362689207784549,0.0397090623157067,0.0410851189306074,0.0401022213485355,0.0394141930410851,0.0372518183605268,0.0380381364261844,0.0429526243365441,0.0415765677216434,0.0397090623157067,0.0404953803813642,0.0376449773933556,0.0429526243365441,0.0397090623157067,0.0362689207784549,0.0377432671515628,0.0348928641635542,0.0402005111067427,0.0368586593276981,0.0389227442500492,0.0401022213485355,0.0362689207784549,0.0433457833693729,0.0354826027127974,0.0397090623157067,0.0359740515038333,0.040888539414193,0.0397090623157067,0.0401022213485355,0.0369569490859053,0.0427560448201297,0.0387261647336348,0.0372518183605268,0.0402988008649499,0.0397090623157067,0.0346081997836988,0.0330350997935306,0.0343132435355422,0.0332317372923017,0.0388359060072756,0.036967849768951,0.0355913872775538,0.0376560810146495,0.0350997935306263,0.0367712122701799,0.0415272584136981,0.0380830545168274,0.0414288525880732,0.0432985632749459,0.0423145050186972,0.0438889982286952,0.0423145050186972,0.0431017516236961,0.0464475496949419,0.0461523322180674
"FJ196846",0.020634764665422,0.0218138940748747,0.018866070551243,0.0199469391765746,0.0181782450623956,0,0.0144443352657955,0.0182765058465166,0.0212243293701484,0.0211260685860273,0.0199469391765746,0.0150338999705217,0.0184730274147588,0.0172938980053061,0.0214208509383905,0.0220104156431168,0.0221086764272379,0.0130686842881006,0.0213225901542694,0.0185712881988799,0.017195637221185,0.0234843274049327,0.0190625921194851,0.0199469391765746,0.0193573744718483,0.0226982411319643,0.0199469391765746,0.0212243293701484,0.0394141930410851,0.0411834086888146,0.0421663062708866,0.0424611755455082,0.0411834086888146,0.0402005111067427,0.0396107725574996,0.043935521918616,0.0431492038529585,0.0427560448201297,0.0389227442500492,0.0399056418321211,0.0435423628857873,0.041379988205229,0.0361706310202476,0.0402005111067427,0.0368586593276981,0.0443286809514448,0.0351877334381757,0.0402988008649499,0.0406919598977786,0.0379398466679772,0.0444269707096521,0.0376449773933556,0.0422645960290937,0.0373501081187341,0.042854334578337,0.0418714369962649,0.0418714369962649,0.0395124827992923,0.0420680165126793,0.0388244544918419,0.0394141930410851,0.0403970906231571,0.0421663062708866,0.038147674761577,0.0366728935207944,0.0353947497787828,0.0341166060367712,0.0403106872480582,0.0389342247566611,0.0359846622750959,0.0387375872578901,0.0370661685183364,0.0388359060072756,0.0398543593780751,0.035229285573706,0.0369021846093289,0.0370989962605787,0.0396575477268254,0.042412910844322,0.0401495768549498,0.041625664239323,0.0445778390080693,0.0419208817161976
"FJ196845",0.0172938980053061,0.0176869411417903,0.0183747666306378,0.0213225901542694,0.0172938980053061,0.0144443352657955,0,0.0155252038911271,0.0215191117225115,0.015328682322885,0.020536503881301,0.0163112901640955,0.0184730274147588,0.0169991156529429,0.0209295470177852,0.0184730274147588,0.0202417215289378,0.0176869411417903,0.0184730274147588,0.0156234646752481,0.0165078117323376,0.0236808489731748,0.0175886803576693,0.0169008548688219,0.018866070551243,0.0214208509383905,0.0159182470276112,0.017195637221185,0.0359740515038333,0.03784155690977,0.0410851189306074,0.0392176135246707,0.0380381364261844,0.0359740515038333,0.0373501081187341,0.0412816984470218,0.0384312954590131,0.0379398466679772,0.0384312954590131,0.0360723412620405,0.0396107725574996,0.0380381364261844,0.0327304894829958,0.0358757617456261,0.0346962846471398,0.0409868291724003,0.0340082563396894,0.0377432671515628,0.0386278749754275,0.034303125614311,0.0402988008649499,0.0336150973068606,0.0374483978769412,0.0328287792412031,0.0376449773933556,0.0376449773933556,0.03784155690977,0.0344014153725182,0.0394141930410851,0.0354826027127974,0.0380381364261844,0.0375466876351485,0.0397090623157067,0.0339199685380002,0.0326418247959886,0.032150231049061,0.0322485497984466,0.0363779372726379,0.0348048372824697,0.0336250122898437,0.0350014747812408,0.0332317372923017,0.0340182872873857,0.0394607360755757,0.0361149380043299,0.0385750836449518,0.0390671127730762,0.0407400118086991,0.0417240700649478,0.0417240700649478,0.0419208817161976,0.0450698681361936,0.0420192875418225
"FJ196842",0.0186695489830009,0.0197504176083325,0.0227965019160853,0.02230519799548,0.0181782450623956,0.0182765058465166,0.0155252038911271,0,0.0219121548589958,0.0177852019259114,0.0214208509383905,0.0178834627100324,0.0207330254495431,0.0207330254495431,0.0230912842684484,0.020536503881301,0.020634764665422,0.0182765058465166,0.0234843274049327,0.0191608529036061,0.0198486783924535,0.0221086764272379,0.018866070551243,0.0169991156529429,0.0225017195637222,0.0247617175985064,0.0162130293799745,0.0193573744718483,0.0344997051307254,0.03784155690977,0.0385295852172204,0.0400039315903283,0.0382347159425988,0.035286023196383,0.0368586593276981,0.0400039315903283,0.0369569490859053,0.0373501081187341,0.0384312954590131,0.0342048358561038,0.038333005700806,0.0401022213485355,0.0355808924710045,0.033811676823275,0.0335168075486534,0.0401022213485355,0.0358757617456261,0.03784155690977,0.03784155690977,0.0341065460978967,0.0400039315903283,0.0316493021427168,0.0392176135246707,0.0324356202083743,0.0371535286023197,0.0392176135246707,0.03784155690977,0.0370552388441124,0.0388244544918419,0.0341065460978967,0.0361706310202476,0.0372518183605268,0.03784155690977,0.0335266935404581,0.03195359355029,0.0327401435453741,0.0326418247959886,0.0370661685183364,0.0354930685281684,0.0345098810343133,0.0342149247861567,0.0334283747910726,0.0349031560318552,0.035130879748081,0.0345404447943318,0.0376894312143279,0.0389687069474512,0.0367053729580791,0.0395591419012006,0.0365085613068293,0.037591025388703,0.0412320409368234,0.0408384176343239
"GU131863",0.0191608529036061,0.0191608529036061,0.0131669450722217,0.0173921587894271,0.0201434607448168,0.0212243293701484,0.0215191117225115,0.0219121548589958,0,0.0212243293701484,0.0179817234941535,0.0178834627100324,0.0196521568242115,0.0193573744718483,0.0178834627100324,0.0178834627100324,0.0158199862434902,0.0204382430971799,0.0167043333005797,0.0227965019160853,0.0207330254495431,0.0179817234941535,0.0178834627100324,0.0192591136877273,0.0129704235039796,0.0183747666306378,0.0184730274147588,0.0193573744718483,0.0379398466679772,0.0379398466679772,0.0379398466679772,0.0384312954590131,0.0387261647336348,0.0330253587576175,0.0380381364261844,0.0381364261843916,0.0367603695694909,0.0355808924710045,0.0372518183605268,0.0349911539217613,0.0393159032828779,0.0380381364261844,0.0335168075486534,0.0337133870650678,0.0345979948889326,0.0372518183605268,0.0337133870650678,0.0337133870650678,0.0368586593276981,0.0344997051307254,0.0388244544918419,0.036367210536662,0.0411834086888146,0.0346962846471398,0.0397090623157067,0.0401022213485355,0.0405936701395715,0.0399056418321211,0.0385295852172204,0.0348928641635542,0.0345979948889326,0.0382347159425988,0.0387261647336348,0.0360829810244814,0.0349031560318552,0.0362796185232523,0.0355913872775538,0.0392291810048176,0.0378527185134205,0.036967849768951,0.0367712122701799,0.0360829810244814,0.0361812997738669,0.041625664239323,0.0397559535524503,0.0392639244243259,0.0397559535524503,0.0417240700649478,0.0420192875418225,0.041625664239323,0.042412910844322,0.0440858098799449,0.0436921865774453
"JF459993",0.0146408568340375,0.0168025940847008,0.0215191117225115,0.0246634568143854,0.0173921587894271,0.0211260685860273,0.015328682322885,0.0177852019259114,0.0212243293701484,0,0.018964331335364,0.0190625921194851,0.0155252038911271,0.017097376437064,0.0208312862336641,0.0166060725164587,0.0220104156431168,0.020536503881301,0.0201434607448168,0.0191608529036061,0.0169991156529429,0.0271199764174118,0.0152304215387639,0.0146408568340375,0.0226982411319643,0.0229930234843274,0.0129704235039796,0.0144443352657955,0.0403970906231571,0.0420680165126793,0.0438372321604089,0.0440338116768233,0.0422645960290937,0.0391193237664635,0.040888539414193,0.043935521918616,0.041379988205229,0.0402988008649499,0.0434440731275801,0.0402005111067427,0.0426577550619226,0.0427560448201297,0.0388244544918419,0.0381364261843916,0.0390210340082563,0.0433457833693729,0.0384312954590131,0.0414782779634362,0.0426577550619226,0.0402005111067427,0.0444269707096521,0.0389227442500492,0.0400039315903283,0.0357774719874189,0.0384312954590131,0.0369569490859053,0.0377432671515628,0.0371535286023197,0.0427560448201297,0.0388244544918419,0.0409868291724003,0.0417731472380578,0.0434440731275801,0.0355913872775538,0.0347065185330843,0.0355913872775538,0.0354930685281684,0.0387375872578901,0.0382459935109626,0.0372628060171074,0.0376560810146495,0.0353947497787828,0.036967849768951,0.040051171029325,0.0370005904349537,0.0404447943318245,0.0415272584136981,0.0434953749261956,0.0421176933674473,0.0402479826805747,0.0419208817161976,0.0449714623105688,0.043200157449321
