"","FJ461303","KP723473","FJ196847","FJ196846","FJ196845","FJ196842","GU131863","EU848545","GU131792","JQ915076","JQ922546","AY732483","FJ898385","LC011949","KC692498","EU482814","FJ882548","HM181971","JQ955624","JX475906","KC294216","KC131142","JQ922549","JQ922550","KC964095","JQ922551","JQ922552","JQ922553","FJ410195","DQ181801","EU482666","FJ744745","AY858037","KF041254","JQ922555","KC762690","KF954948","KJ579242","KF041260","FJ196849","FJ024476"
"FJ461303",0,0.227815137957551,0.102934306177562,0.174125574945855,0.131987849114894,0.125881381980603,0.153556417136515,0.108854347010888,0.0646098051267231,0.195217969007304,0.140527657619912,0.0786563660642223,0.0606854177504363,0.0407482645890403,0.177320656607174,0.0286409432010858,0.045820206031568,0.403455984935498,0.610049298800406,0.453924951223146,0.407586848488392,0.582926514244708,0.548232976635972,0.450116338706487,0.37757647298298,0.51314096417017,0.512047549334729,0.46173480322461,0.379434816839397,0.458057362672901,0.358863353089906,0.412454506217446,0.372574666874148,0.523925680266552,0.484691040353345,0.362816038623515,0.507525641240772,0.44330573702483,0.54659999772374,0.558026716326742,0.500068709989754
"KP723473",0.227815137957551,0,0.149755756938852,0.144388903898749,0.167326115520536,0.18201186716607,0.0999677757732378,0.145529288655509,0.189837231569822,0.1574728520685,0.116423361472126,0.180265855256364,0.165945459119336,0.213811530212339,0.143591374382428,0.211500808832877,0.194611500224389,0.507742989708252,0.56230871156342,0.475687255411662,0.488790675790052,0.609871561902538,0.493727261679222,0.393986496305256,0.463241175144974,0.498365240809931,0.388234556880374,0.433819777268994,0.468044533608235,0.541688827114232,0.473353571280012,0.52143288920592,0.35394426261898,0.444789891636309,0.42629517521274,0.378080788166066,0.390310042943444,0.466243811785733,0.493621648864291,0.499858296386101,0.53887820848739
"FJ196847",0.102934306177562,0.149755756938852,0,0.10972293774351,0.100686901471133,0.110452399919099,0.137490056006634,0.1092619093785,0.081953463027305,0.159512000621358,0.0880387596964929,0.053282034845914,0.0638914868126013,0.109637110615634,0.153195426368857,0.0793900283541827,0.0926198725171904,0.503514450644224,0.637255406385288,0.544278503124416,0.480759373858179,0.698392328656906,0.609530303568042,0.456054517103293,0.455955039152233,0.544534079677288,0.486104433943698,0.501257383383548,0.451568771511792,0.594535920141018,0.481415809163956,0.497111488656315,0.32823488400692,0.489948057136165,0.439145780134839,0.395643167618577,0.456569326000479,0.456699708189762,0.611519508697179,0.575140980997877,0.559480115779823
"FJ196846",0.174125574945855,0.144388903898749,0.10972293774351,0,0.0744543519459953,0.117059602695955,0.159672749385223,0.0751286832949746,0.130188303719113,0.0530247068376236,0.140840589758844,0.105799470398839,0.124185040734788,0.146262347166211,0.174291333740005,0.155664693599076,0.162692746269513,0.560256680640572,0.658933173194572,0.587680151518028,0.511805007587775,0.696123371448156,0.621839520555002,0.449536032088148,0.482153240001353,0.630862323689035,0.441549763606489,0.489100624778701,0.48090470012844,0.577155116777027,0.521329370303128,0.572693553403894,0.344374498341659,0.522124357184447,0.485520616840173,0.375920752393996,0.489776818010193,0.378272602355232,0.469800729267016,0.477483521418068,0.491659152121557
"FJ196845",0.131987849114894,0.167326115520536,0.100686901471133,0.0744543519459953,0,0.0870241560858064,0.168808152206403,0.0924459732725237,0.13142770097614,0.0975252771568046,0.123324148568681,0.0913805705456844,0.126941544117853,0.104387108738878,0.16810375832813,0.101490488449662,0.111057595486993,0.472669710792278,0.66646287173897,0.533899621383686,0.472739920302182,0.642398306099259,0.605527278868845,0.407957093498848,0.469625159522467,0.601875495437017,0.442036883854727,0.504923108898835,0.440545767572035,0.542244764452902,0.443895460003448,0.513748246371002,0.338209784048233,0.43658487079602,0.405339117613386,0.339959121629118,0.415124836856568,0.420140639694638,0.546878315489091,0.531654511913072,0.539782380809664
"FJ196842",0.125881381980603,0.18201186716607,0.110452399919099,0.117059602695955,0.0870241560858064,0,0.159690043890604,0.110744602464692,0.135933817134015,0.116597147959422,0.177217681638585,0.125385382047996,0.109038501420918,0.0968269943996481,0.203432630292062,0.0877363047585105,0.115355763017149,0.437270411073262,0.608985298026362,0.479978438978757,0.43778722794834,0.539733055011414,0.579944524362846,0.415597865302335,0.399318954370655,0.529295035633272,0.457290973929135,0.461741329621876,0.360493826825352,0.49915118305425,0.396169480127323,0.462189995806504,0.327063859157075,0.456779604540864,0.452273992547169,0.349759532880601,0.419656103414281,0.386923403946831,0.498477736246731,0.448999125597227,0.438506766168047
"GU131863",0.153556417136515,0.0999677757732378,0.137490056006634,0.159672749385223,0.168808152206403,0.159690043890604,0,0.110940648423544,0.143592768100923,0.15268187776426,0.109916791473215,0.159469204027823,0.118826195328344,0.145974807399637,0.120535335923499,0.146315763571634,0.15132157753343,0.49736859369234,0.571275799622089,0.44645646903362,0.473160165099919,0.625093187303824,0.525165372323542,0.385590571135951,0.423669399492944,0.487958400617292,0.398126368853832,0.371413851155648,0.443561650472834,0.506321216997896,0.418400952609475,0.497690508780852,0.41767110887424,0.565976634091675,0.50932310172778,0.43067959636075,0.510830900028836,0.482901629278756,0.495556019691638,0.533306215376114,0.524582892737394
"EU848545",0.108854347010888,0.145529288655509,0.1092619093785,0.0751286832949746,0.0924459732725237,0.110744602464692,0.110940648423544,0,0.11457447063346,0.115419898424215,0.118075256560726,0.0769438845582779,0.113646439880689,0.106612549637755,0.131004624959291,0.1150758579045,0.0952975131387619,0.535632179187757,0.654534816258121,0.517558557757367,0.520245521260008,0.682795163929379,0.599788939309931,0.451217452986583,0.483974949955627,0.596165192933303,0.462829998857855,0.473662773696041,0.459526858592461,0.567208912676054,0.482598637815857,0.570535306279839,0.418610870396362,0.563776021490764,0.504757180293154,0.382551354410311,0.525170651207964,0.348523880680386,0.419460436409634,0.407055430480473,0.439371908391109
"GU131792",0.0646098051267231,0.189837231569822,0.081953463027305,0.130188303719113,0.13142770097614,0.135933817134015,0.143592768100923,0.11457447063346,0,0.180896554820953,0.118025111937112,0.0719027765712217,0.0198067010562848,0.0651488218025356,0.172860652273891,0.0660485159096213,0.0629359950575786,0.472690383002804,0.687209613556089,0.562255724778103,0.465106770860703,0.722018854862851,0.625764813840407,0.472827946902646,0.453867880242462,0.593428790653337,0.494699070149953,0.486086198323994,0.448684253096367,0.545672770619557,0.43695463156334,0.488713442498983,0.359412541276031,0.559705248309999,0.50353775794924,0.411512636198516,0.51778756978216,0.526153341875871,0.618697384296952,0.629782639852019,0.595289143231798
"JQ915076",0.195217969007304,0.1574728520685,0.159512000621358,0.0530247068376236,0.0975252771568046,0.116597147959422,0.15268187776426,0.115419898424215,0.180896554820953,0,0.17397791139055,0.135259185724675,0.154012324552374,0.152974384121746,0.21609058202469,0.159767224851918,0.196588088553522,0.482403177297104,0.548699314434392,0.493374869617126,0.417441411235624,0.556770177185562,0.515205438970445,0.402675242766423,0.410122339140439,0.521499974918873,0.392637668801354,0.431364198521514,0.400958376762317,0.471012342974615,0.424127990223185,0.490888212797932,0.373616940147585,0.528562884700571,0.525699787193148,0.391868499946923,0.485098627719988,0.402075113921849,0.487014642416375,0.506015069615877,0.503006175846697
