"","FJ639670","FJ461303","KF289073","KP723473","FJ196847","FJ196846","FJ196845","FJ196842","GU131863","JF459993","JN638344","EU848545","GU131792","EF457905","KF184975","KJ755855","AY722803","JQ915076","JQ922546","LC128301","AY732483","KP406801","FJ898385","LC011949","JN903578","KC692498","EU482814","FJ882548","GU131900","HM181971","GU131843","JQ955624","KF955359","JX475906","KC294216","KF744397","KF744399","KF744400","KJ918750","KF704354","KC131142","JQ922549","JQ922550","JF730044","KC964095","JQ922551","JQ922552","JQ922553","JX966380","GQ868591","KM279536","FJ410195","FJ467493","EU687233","EU003591","EF457904","EF105385","EF105379","DQ181801","EU482666","GQ398258","GQ398269","FJ744745","KF955477","KF824903","AY496879","AY858037","KF041254","JQ922555","KC762690","FJ182038","FJ882572","KF954948","GQ199879","KJ579242","GQ398256","KF041260","FJ196849","EF457906","KP140942","FJ024476","JF262783","JQ922559"
"FJ639670",0,0.0264212299914868,0.140221061245257,0.214272180148132,0.0856444751439541,0.151101476249153,0.110801208324174,0.108777751824551,0.155024022703627,0.0881725115561726,0.0967681585388694,0.100339980479508,0.0596485354758431,0.0998343538223891,0.136259112775747,0.0783887307047646,0.139056423624156,0.18074349713163,0.122592464523536,0.14720269198801,0.070817530564595,0.216768420192083,0.0468798319547651,0.0199277412523236,0.156037409568534,0.177976925384172,0.0229200454028269,0.0183421270420036,0.425223960004819,0.415538430837135,0.532888697758078,0.618717262317312,0.46908690764264,0.450732778149044,0.427148812287929,0.555669010692547,0.492922989795273,0.484911160783683,0.512097211184694,0.423664476222621,0.599450914037598,0.555702847574351,0.420797577661917,0.390946018435574,0.383108510396204,0.52046444472038,0.482745551845556,0.454497136108127,0.488436797972339,0.426615794531828,0.580701567233183,0.390334787563656,0.444981574992362,0.38809085208527,0.383231667093581,0.433059898363724,0.405509336312504,0.449779144888124,0.490283510051673,0.374601749169545,0.465156831727995,0.373577393896341,0.446311235098134,0.349124551578179,0.334762004445396,0.328175804729177,0.334637643904896,0.495638053436061,0.459393979404129,0.324932891467254,0.419758321411188,0.38990021509431,0.467090823155179,0.511651312595409,0.462136112339901,0.530347272397119,0.582582951443871,0.575209524222287,0.560688069797993,0.484848674739455,0.534252134301513,0.64520614399477,0.618768491872179
"FJ461303",0.0264212299914868,0,0.147365713197802,0.227815137957551,0.102934306177562,0.174125574945855,0.131987849114894,0.125881381980603,0.153556417136515,0.108657025955364,0.0935801052794786,0.108854347010888,0.0646098051267231,0.10849642740514,0.149020421208383,0.0684239656704954,0.147967564783782,0.195217969007304,0.140527657619912,0.151533798814225,0.0786563660642223,0.227671167778978,0.0606854177504363,0.0407482645890403,0.170560733115743,0.177320656607174,0.0286409432010858,0.045820206031568,0.415176402100475,0.403455984935498,0.532758648383838,0.610049298800406,0.448967379522964,0.453924951223146,0.407586848488392,0.570883031289194,0.503980746846373,0.455676132268172,0.534645880915432,0.37990835704725,0.582926514244708,0.548232976635972,0.450116338706487,0.3776018749459,0.37757647298298,0.51314096417017,0.512047549334729,0.46173480322461,0.502558736694028,0.404445397389637,0.561225569707057,0.379434816839397,0.460957292197955,0.411595866964962,0.391600459604272,0.415495795695338,0.404081604841153,0.453107540393373,0.458057362672901,0.358863353089906,0.459909916129763,0.357987752555307,0.412454506217446,0.37474567239966,0.356904714481239,0.376033941718832,0.372574666874148,0.523925680266552,0.484691040353345,0.362816038623515,0.461919194377269,0.421492185220288,0.507525641240772,0.48357932736787,0.44330573702483,0.509419464426213,0.54659999772374,0.558026716326742,0.540368545198235,0.474599509964483,0.500068709989754,0.593258768721555,0.601447641837161
"KF289073",0.140221061245257,0.147365713197802,0,0.0729363411744347,0.112679745195622,0.132293988795842,0.135191072041862,0.186931998996234,0.0526178482094638,0.192679638236923,0.11742242393823,0.098044478685888,0.142450976782135,0.0996217180857294,0.0627789635142613,0.125704687829304,0.0750783405324615,0.155467465266958,0.0689067066237665,0.18404104565058,0.120767250361359,0.104852823794044,0.119343828111864,0.153379117517855,0.0589927473565502,0.0756975563015592,0.148374764687314,0.138892514561812,0.508526644903013,0.535779698870417,0.635033148144403,0.616890849175244,0.4952145444037,0.481149847023565,0.504112189947723,0.660348602100461,0.580335847229029,0.541039874711154,0.502763609516298,0.484778812724142,0.676697108943547,0.55311310746475,0.4139263588779,0.451950672646091,0.473083261743594,0.537716527759277,0.408536780396578,0.45565590369754,0.528902077713216,0.46750495786043,0.650177995426656,0.484291914194189,0.563809430892828,0.443225700691595,0.584923673619732,0.59478195568244,0.606094852941462,0.573385656667902,0.558769319402211,0.470800743286123,0.512680051449777,0.451819588180901,0.541783822344983,0.436822042271119,0.396003861546706,0.405931409471554,0.402247816774913,0.526131130824975,0.46590148283677,0.42096960282762,0.47565630416039,0.463163372527964,0.472093854500762,0.525489238400075,0.473223681624481,0.483308540736258,0.514093329714974,0.541484981741643,0.594502490946705,0.514830611308086,0.558034839729942,0.593931207755806,0.577464306976135
"KP723473",0.214272180148132,0.227815137957551,0.0729363411744347,0,0.149755756938852,0.144388903898749,0.167326115520536,0.18201186716607,0.0999677757732378,0.249842742217723,0.142699408339023,0.145529288655509,0.189837231569822,0.150134552535497,0.111694620435869,0.176905649673268,0.0942169624729855,0.1574728520685,0.116423361472126,0.215034784196438,0.180265855256364,0.0596661717358032,0.165945459119336,0.213811530212339,0.11403706474335,0.143591374382428,0.211500808832877,0.194611500224389,0.514531878887857,0.507742989708252,0.550198461748047,0.56230871156342,0.457265555597302,0.475687255411662,0.488790675790052,0.603108765342853,0.516662298614883,0.500101993588714,0.454500361856206,0.467771911505692,0.609871561902538,0.493727261679222,0.393986496305256,0.444055757816103,0.463241175144974,0.498365240809931,0.388234556880374,0.433819777268994,0.484049070121022,0.465084287365233,0.619471547583247,0.468044533608235,0.606977461026191,0.39679262825157,0.605751688384277,0.633979373549657,0.640977142860217,0.586211548120294,0.541688827114232,0.473353571280012,0.462141756000174,0.437131421342211,0.52143288920592,0.42755220911781,0.388437267935321,0.401924699263921,0.35394426261898,0.444789891636309,0.42629517521274,0.378080788166066,0.41817520815692,0.419396824694026,0.390310042943444,0.498060366200714,0.466243811785733,0.472223462241317,0.493621648864291,0.499858296386101,0.599591184399147,0.497176178007939,0.53887820848739,0.54198977283666,0.533889275162328
"FJ196847",0.0856444751439541,0.102934306177562,0.112679745195622,0.149755756938852,0,0.10972293774351,0.100686901471133,0.110452399919099,0.137490056006634,0.147966749419169,0.0805055611380402,0.1092619093785,0.081953463027305,0.0773064471030881,0.122926385078343,0.126512113912794,0.173000291470408,0.159512000621358,0.0880387596964929,0.181419987049349,0.053282034845914,0.176170097963495,0.0638914868126013,0.109637110615634,0.125832368493767,0.153195426368857,0.0793900283541827,0.0926198725171904,0.480040718677051,0.503514450644224,0.630536423043503,0.637255406385288,0.493046313474683,0.544278503124416,0.480759373858179,0.653477001530661,0.598039923971548,0.568496913612271,0.550531825974013,0.482679074927371,0.698392328656906,0.609530303568042,0.456054517103293,0.478074950557375,0.455955039152233,0.544534079677288,0.486104433943698,0.501257383383548,0.534684040488746,0.490695992070624,0.648655706820646,0.451568771511792,0.567972984276167,0.391763669792168,0.533673815626192,0.594727675643354,0.571392947844273,0.542599890493227,0.594535920141018,0.481415809163956,0.54713986783799,0.426694581763914,0.497111488656315,0.390016688127931,0.354326162945448,0.344166315705888,0.32823488400692,0.489948057136165,0.439145780134839,0.395643167618577,0.415963920399855,0.384263248912894,0.456569326000479,0.509511861744013,0.456699708189762,0.548244210913001,0.611519508697179,0.575140980997877,0.600739214803325,0.529293121930254,0.559480115779823,0.665237204351517,0.622629522591351
"FJ196846",0.151101476249153,0.174125574945855,0.132293988795842,0.144388903898749,0.10972293774351,0,0.0744543519459953,0.117059602695955,0.159672749385223,0.175352605780452,0.125801455921708,0.0751286832949746,0.130188303719113,0.0919596794032155,0.13986141597707,0.175324145560821,0.18327585559334,0.0530247068376236,0.140840589758844,0.140758215495489,0.105799470398839,0.202777359137294,0.124185040734788,0.146262347166211,0.150277774642544,0.174291333740005,0.155664693599076,0.162692746269513,0.538538142133421,0.560256680640572,0.619921429537463,0.658933173194572,0.53822580819472,0.587680151518028,0.511805007587775,0.652594671898414,0.608919692178396,0.613243438676604,0.516032517535891,0.55191841891656,0.696123371448156,0.621839520555002,0.449536032088148,0.541990187019585,0.482153240001353,0.630862323689035,0.441549763606489,0.489100624778701,0.531188537448358,0.533100584844183,0.671307435085034,0.48090470012844,0.562415867082123,0.436077540368749,0.592997111015968,0.620436228621456,0.58832480875783,0.511821273191817,0.577155116777027,0.521329370303128,0.563451889119013,0.456438356990069,0.572693553403894,0.4516375791278,0.396935312048981,0.394183491834792,0.344374498341659,0.522124357184447,0.485520616840173,0.375920752393996,0.461655914302812,0.470827329356566,0.489776818010193,0.440627709511883,0.378272602355232,0.419175480622578,0.469800729267016,0.477483521418068,0.57456495554942,0.462014282492204,0.491659152121557,0.576990251847992,0.504647190778301
"FJ196845",0.110801208324174,0.131987849114894,0.135191072041862,0.167326115520536,0.100686901471133,0.0744543519459953,0,0.0870241560858064,0.168808152206403,0.0942998844273159,0.132794780026956,0.0924459732725237,0.13142770097614,0.105274305365579,0.146700236433006,0.133742280074426,0.171022667902981,0.0975252771568046,0.123324148568681,0.0906687166904422,0.0913805705456844,0.227697495704737,0.126941544117853,0.104387108738878,0.139319904453716,0.16810375832813,0.101490488449662,0.111057595486993,0.46781523088357,0.472669710792278,0.606794336956677,0.66646287173897,0.478463847947722,0.533899621383686,0.472739920302182,0.62606737658671,0.538841454657745,0.531791924152556,0.532567368822848,0.503757362440507,0.642398306099259,0.605527278868845,0.407957093498848,0.4622451484441,0.469625159522467,0.601875495437017,0.442036883854727,0.504923108898835,0.512423636155359,0.480815437208779,0.630522949864478,0.440545767572035,0.497548044554346,0.340716995846168,0.507008581867458,0.533476989512537,0.526029997705958,0.439253111143959,0.542244764452902,0.443895460003448,0.554341158433175,0.40608694567728,0.513748246371002,0.38061361530838,0.310723430046425,0.316517138529655,0.338209784048233,0.43658487079602,0.405339117613386,0.339959121629118,0.375251713670067,0.358473058026767,0.415124836856568,0.476594143267609,0.420140639694638,0.486350641627079,0.546878315489091,0.531654511913072,0.516307190712491,0.494653164621285,0.539782380809664,0.609731577002874,0.562885132831436
"FJ196842",0.108777751824551,0.125881381980603,0.186931998996234,0.18201186716607,0.110452399919099,0.117059602695955,0.0870241560858064,0,0.159690043890604,0.104986193602074,0.13113031457062,0.110744602464692,0.135933817134015,0.117067078335315,0.176082808277793,0.129517797006827,0.159178597221503,0.116597147959422,0.177217681638585,0.110066061355221,0.125385382047996,0.189584890279273,0.109038501420918,0.0968269943996481,0.179117294857704,0.203432630292062,0.0877363047585105,0.115355763017149,0.396097005867245,0.437270411073262,0.51331776644823,0.608985298026362,0.487913742825676,0.479978438978757,0.43778722794834,0.538378926265044,0.466573607462247,0.469506784102581,0.490603858182041,0.414254880257206,0.539733055011414,0.579944524362846,0.415597865302335,0.423021408692781,0.399318954370655,0.529295035633272,0.457290973929135,0.461741329621876,0.474480178862178,0.437754851546106,0.552160450061591,0.360493826825352,0.525552258439356,0.347821952505275,0.45852340444447,0.524724049066591,0.48928308332711,0.491373451933178,0.49915118305425,0.396169480127323,0.49180195665559,0.388083703483519,0.462189995806504,0.356917835290891,0.303350635610372,0.330061565597721,0.327063859157075,0.456779604540864,0.452273992547169,0.349759532880601,0.377410612046984,0.366339845505757,0.419656103414281,0.396215287391683,0.386923403946831,0.459030247259632,0.498477736246731,0.448999125597227,0.483903933459438,0.399697580166098,0.438506766168047,0.510097155236022,0.502874997015434
"GU131863",0.155024022703627,0.153556417136515,0.0526178482094638,0.0999677757732378,0.137490056006634,0.159672749385223,0.168808152206403,0.159690043890604,0,0.173477398151649,0.131134112159982,0.110940648423544,0.143592768100923,0.121718888926793,0.110396582559994,0.124969046241543,0.0772649599110501,0.15268187776426,0.109916791473215,0.195069682284131,0.159469204027823,0.0970257737402538,0.118826195328344,0.145974807399637,0.0558434497945897,0.120535335923499,0.146315763571634,0.15132157753343,0.47365525062343,0.49736859369234,0.572383520828447,0.571275799622089,0.48034792006271,0.44645646903362,0.473160165099919,0.5845905268742,0.509852911185278,0.474931843993745,0.468578370696676,0.446895446442611,0.625093187303824,0.525165372323542,0.385590571135951,0.404037791086008,0.423669399492944,0.487958400617292,0.398126368853832,0.371413851155648,0.471523594769624,0.457299924674628,0.597389139683936,0.443561650472834,0.581824438329164,0.462275993921575,0.547704855213831,0.568922503444858,0.572821032609317,0.575532932268616,0.506321216997896,0.418400952609475,0.47080003586631,0.430716132526796,0.497690508780852,0.45609322329798,0.417538380721368,0.452239767714126,0.41767110887424,0.565976634091675,0.50932310172778,0.43067959636075,0.50047572970753,0.49480491441986,0.510830900028836,0.501077540527128,0.482901629278756,0.493146332441663,0.495556019691638,0.533306215376114,0.57021617122851,0.486248311232584,0.524582892737394,0.581790141723998,0.579425471396962
"JF459993",0.0881725115561726,0.108657025955364,0.192679638236923,0.249842742217723,0.147966749419169,0.175352605780452,0.0942998844273159,0.104986193602074,0.173477398151649,0,0.152264621101619,0.12744192696139,0.112964236899111,0.138284330413691,0.204210705925046,0.111262210941503,0.193462954458631,0.165123922561836,0.189024009343038,0.120624104575859,0.116302858824143,0.290570965629098,0.125111708328826,0.0781384074618814,0.191890627694301,0.214423008891305,0.0735888129932817,0.0842258323145906,0.539611420572196,0.548519602213838,0.661904848119973,0.741101564847038,0.577918501847718,0.559074033494332,0.531774678137141,0.63794380633963,0.558130126422015,0.556177140960918,0.647835172253042,0.540247781111599,0.678900458330066,0.664301443074685,0.523368254923842,0.464312754627622,0.545425489069068,0.652996771675592,0.546612081774095,0.54979065674804,0.598917265887572,0.577367227276024,0.653534099984706,0.519311949134751,0.56643078851812,0.427486813532647,0.524468319438605,0.547995240377809,0.523482785390276,0.496310608880674,0.581855959937672,0.464354634973385,0.600268101349721,0.478057307878991,0.597124606841601,0.438790653582885,0.390888180857,0.408833802821247,0.448998900133312,0.537177770558255,0.533710400556897,0.419836307275164,0.482238885340407,0.459608694738055,0.509366625662098,0.497964356087215,0.469086933284409,0.576713204417312,0.598748925047138,0.609174956016838,0.549689687445083,0.507894294320846,0.563646786338019,0.665780422200927,0.629327917714193
