"","South Viet Nam","Guangdong","Guangzhou","Guangzhou","Guangzhou","Guangzhou","Sao Paulo","Hawaii","South Viet Nam","Tahiti","Jaipur","Bangkok","South Viet Nam","Shizuoka","Buenos Aires","South Viet Nam","South Viet Nam","Sao Paulo","Odisha","Hyderabad","Iquitos","Guangdong","Dhule","Jaipur","Nanhai","Pune","Vellore","Kolkata","South Viet Nam","Bangkok","South Viet Nam","Masaya","Jakarta","Karachi","Vellore","Makassar","Zhongshan","Cuiaba","Karachi","Guangzhou","Santander"
"South Viet Nam",0,10.8153935349449,10.3513855524945,10.3513855524945,10.3513855524945,10.3513855524945,159.410447437554,263.924566638082,0,259.646753487863,34.9402856535544,7.78129630368339,0,36.6600650846733,173.617777640874,0,0,159.410447437554,24.182000630018,29.9757005669123,182.39963765603,10.8153935349449,34.1945971230406,34.9402856535544,10.2055156499801,34.708473543096,29.1670582218381,21.6571779167116,0,7.78129630368339,0,194.377049243448,20.2826538176294,42.657878045946,29.1670582218381,22.2107163422697,9.88575557669529,167.029549232977,42.657878045946,10.3513855524945,182.081849083991
"Guangdong",10.8153935349449,0,0.55799701677314,0.55799701677314,0.55799701677314,0.55799701677314,167.121063163578,269.368574075862,10.8153935349449,266.368312244696,38.1400366741956,16.3848787968169,10.8153935349449,27.2148902839541,181.647576765158,10.8153935349449,10.8153935349449,167.121063163578,28.7673518589049,35.7822197161721,188.971478816852,0,39.0668511334794,38.1400366741956,0.71186935107682,40.2012174697662,36.1767255001368,25.4121852876212,10.8153935349449,16.3848787968169,10.8153935349449,200.177285162435,30.3485279185487,46.776840109459,36.1767255001368,29.0846208335712,0.937748851525145,174.276486172257,46.776840109459,0.55799701677314,188.162607653009
"Guangzhou",10.3513855524945,0.55799701677314,0,0,0,0,166.572088064107,268.866597298416,10.3513855524945,265.836926133299,37.6675937475005,15.8345651904078,10.3513855524945,27.7727277720609,181.095018361116,10.3513855524945,10.3513855524945,166.572088064107,28.2499028608617,35.248882042955,188.441957415012,0.55799701677314,38.5537384995047,37.6675937475005,0.157029534967158,39.6762160671435,35.6269944162248,24.9067070168538,10.3513855524945,15.8345651904078,10.3513855524945,199.665076935156,29.9948150958923,46.2868754336857,35.6269944162248,28.9417433366819,0.624856410585663,173.734377767305,46.2868754336857,0,187.643570158752
"Guangzhou",10.3513855524945,0.55799701677314,0,0,0,0,166.572088064107,268.866597298416,10.3513855524945,265.836926133299,37.6675937475005,15.8345651904078,10.3513855524945,27.7727277720609,181.095018361116,10.3513855524945,10.3513855524945,166.572088064107,28.2499028608617,35.248882042955,188.441957415012,0.55799701677314,38.5537384995047,37.6675937475005,0.157029534967158,39.6762160671435,35.6269944162248,24.9067070168538,10.3513855524945,15.8345651904078,10.3513855524945,199.665076935156,29.9948150958923,46.2868754336857,35.6269944162248,28.9417433366819,0.624856410585663,173.734377767305,46.2868754336857,0,187.643570158752
"Guangzhou",10.3513855524945,0.55799701677314,0,0,0,0,166.572088064107,268.866597298416,10.3513855524945,265.836926133299,37.6675937475005,15.8345651904078,10.3513855524945,27.7727277720609,181.095018361116,10.3513855524945,10.3513855524945,166.572088064107,28.2499028608617,35.248882042955,188.441957415012,0.55799701677314,38.5537384995047,37.6675937475005,0.157029534967158,39.6762160671435,35.6269944162248,24.9067070168538,10.3513855524945,15.8345651904078,10.3513855524945,199.665076935156,29.9948150958923,46.2868754336857,35.6269944162248,28.9417433366819,0.624856410585663,173.734377767305,46.2868754336857,0,187.643570158752
"Guangzhou",10.3513855524945,0.55799701677314,0,0,0,0,166.572088064107,268.866597298416,10.3513855524945,265.836926133299,37.6675937475005,15.8345651904078,10.3513855524945,27.7727277720609,181.095018361116,10.3513855524945,10.3513855524945,166.572088064107,28.2499028608617,35.248882042955,188.441957415012,0.55799701677314,38.5537384995047,37.6675937475005,0.157029534967158,39.6762160671435,35.6269944162248,24.9067070168538,10.3513855524945,15.8345651904078,10.3513855524945,199.665076935156,29.9948150958923,46.2868754336857,35.6269944162248,28.9417433366819,0.624856410585663,173.734377767305,46.2868754336857,0,187.643570158752
"Sao Paulo",159.410447437554,167.121063163578,166.572088064107,166.572088064107,166.572088064107,166.572088064107,0,117.293027097495,159.410447437554,102.961891886335,132.413398706218,151.791077684869,159.410447437554,194.052958379226,16.1305243708198,159.410447437554,159.410447437554,0,139.045749153353,131.646230052772,33.1790038170656,167.121063163578,129.291054246871,132.413398706218,166.427934985394,127.623735044747,130.946108076104,142.65900472264,159.410447437554,151.791077684869,159.410447437554,53.0891894883776,154.478632775602,123.525332917169,130.946108076104,167.082599248926,166.525122360599,12.3598807440587,123.525332917169,166.572088064107,40.5189907065661
"Hawaii",263.924566638082,269.368574075862,268.866597298416,268.866597298416,268.866597298416,268.866597298416,117.293027097495,0,263.924566638082,38.0491017654759,231.476393775841,256.158154480102,263.924566638082,294.352420787156,111.437771020323,263.924566638082,263.924566638082,117.293027097495,240.683617186991,234.082928643892,85.6579740467984,269.368574075862,230.35988270558,231.476393775841,268.744476098205,229.443653567003,234.819051050661,243.961352378748,263.924566638082,256.158154480102,263.924566638082,69.9447119470801,263.739647443658,222.648079871536,234.819051050661,276.153500864646,268.988319741391,105.628423900161,222.648079871536,268.866597298416,82.9941622527339
"South Viet Nam",0,10.8153935349449,10.3513855524945,10.3513855524945,10.3513855524945,10.3513855524945,159.410447437554,263.924566638082,0,259.646753487863,34.9402856535544,7.78129630368339,0,36.6600650846733,173.617777640874,0,0,159.410447437554,24.182000630018,29.9757005669123,182.39963765603,10.8153935349449,34.1945971230406,34.9402856535544,10.2055156499801,34.708473543096,29.1670582218381,21.6571779167116,0,7.78129630368339,0,194.377049243448,20.2826538176294,42.657878045946,29.1670582218381,22.2107163422697,9.88575557669529,167.029549232977,42.657878045946,10.3513855524945,182.081849083991
"Tahiti",259.646753487863,266.368312244696,265.836926133299,265.836926133299,265.836926133299,265.836926133299,102.961891886335,38.0491017654759,259.646753487863,0,229.57989631488,251.893477862148,259.646753487863,292.581277436534,92.6093630390144,259.646753487863,259.646753487863,102.961891886335,237.680313674939,230.589946725733,77.433533782065,266.368312244696,227.491890594938,229.57989631488,265.702061953039,226.193653715047,230.593526974967,241.167969281898,259.646753487863,251.893477862148,259.646753487863,69.9217589714593,256.547876060937,220.571612919595,230.593526974967,269.149347869385,265.870714347071,93.3506515380931,220.571612919595,265.836926133299,79.5719091164606
