"","Cambodia","Viet Nam","India","China","China","China","China","China","Brazil","Myanmar","Thailand","United States","Viet Nam","Malaysia","Angola","India","Myanmar","French Polynesia","India","Philippines","Thailand","South Korea","Viet Nam","Japan","India","Argentina","Viet Nam","Viet Nam","Cambodia","Brazil","Burkina Faso","India","Puerto Rico","India","Peru","Philippines","Philippines","Philippines","India","Cuba","China","India","India","Cambodia","China","India","India","India","Puerto Rico","Thailand","Singapore","Viet Nam","Malaysia","Puerto Rico","Nigeria","Senegal","Senegal","Malaysia","Thailand","Viet Nam","Indonesia","Puerto Rico","Nicaragua","India","China","Philippines","Indonesia","Pakistan","India","Indonesia","Puerto Rico","Sri Lanka","China","Puerto Rico","Brazil","Singapore","Pakistan","China","Malaysia","Haiti","Colombia","India","India"
"Cambodia",0,3.60934012580153,27.2380243214319,23.3095614719093,23.3095614719093,23.3095614719093,23.3095614719093,23.3095614719093,159.188516942968,13.002448304988,5.18711164702409,202.196664420302,3.60934012580153,8.88260639884679,90.3012756874642,27.2380243214319,13.002448304988,256.189440042092,27.2380243214319,16.7859918963605,5.18711164702409,32.6128335740359,3.60934012580153,40.8064605901633,27.2380243214319,176.146745824064,3.60934012580153,3.60934012580153,0,159.188516942968,106.553058827689,27.2380243214319,171.674281014718,27.2380243214319,181.316048849159,16.7859918963605,16.7859918963605,16.7859918963605,27.2380243214319,182.991428318047,23.3095614719093,27.2380243214319,27.2380243214319,0,23.3095614719093,27.2380243214319,27.2380243214319,27.2380243214319,171.674281014718,5.18711164702409,11.2745853006372,3.60934012580153,8.88260639884679,171.674281014718,96.3786667058276,119.458944566495,119.458944566495,8.88260639884679,5.18711164702409,3.60934012580153,16.0656838483338,171.674281014718,190.198428180514,27.2380243214319,23.3095614719093,16.7859918963605,16.0656838483338,39.8473306071507,27.2380243214319,16.0656838483338,171.674281014718,24.6695912233296,23.3095614719093,171.674281014718,159.188516942968,11.2745853006372,39.8473306071507,23.3095614719093,8.88260639884679,177.39186514332,179.466459500123,27.2380243214319,27.2380243214319
"Viet Nam",3.60934012580153,0,30.0339845635467,22.1821227184438,22.1821227184438,22.1821227184438,22.1821227184438,22.1821227184438,162.681734337513,14.6136624691839,7.50656566308641,205.286205023229,0,11.6913647842794,93.8662758924716,30.0339845635467,14.6136624691839,259.631219877114,30.0339845635467,13.5481807323616,7.50656566308641,29.2787811399009,0,37.2694452806267,30.0339845635467,179.724978082207,0,0,3.60934012580153,162.681734337513,109.853869277597,30.0339845635467,174.916882769298,30.0339845635467,184.760842630488,13.5481807323616,13.5481807323616,13.5481807323616,30.0339845635467,186.207997655137,22.1821227184438,30.0339845635467,30.0339845635467,3.60934012580153,22.1821227184438,30.0339845635467,30.0339845635467,30.0339845635467,174.916882769298,7.50656566308641,13.4653869333135,0,11.6913647842794,174.916882769298,99.7261584369904,122.730346417928,122.730346417928,11.6913647842794,7.50656566308641,0,15.8841863797043,174.916882769298,193.488105339795,30.0339845635467,22.1821227184438,13.5481807323616,15.8841863797043,42.2131671142654,30.0339845635467,15.8841863797043,174.916882769298,28.192280932101,22.1821227184438,174.916882769298,162.681734337513,13.4653869333135,42.2131671142654,22.1821227184438,11.6913647842794,180.629237866864,182.82087286842,30.0339845635467,30.0339845635467
"India",27.2380243214319,30.0339845635467,0,29.492219402613,29.492219402613,29.492219402613,29.492219402613,29.492219402613,135.442784732104,17.0444814473543,22.5303983984311,175.453017455687,30.0339845635467,28.2489320911251,68.8685312206339,0,17.0444814473543,231.554713881783,0,43.5005594952311,22.5303983984311,51.1503210878201,30.0339845635467,61.3108229403385,0,154.308401917033,30.0339845635467,30.0339845635467,27.2380243214319,135.442784732104,80.9567949109951,0,145.572369194648,0,156.832076455943,43.5005594952311,43.5005594952311,43.5005594952311,0,156.746794510866,29.492219402613,0,0,27.2380243214319,29.492219402613,0,0,0,145.572369194648,22.5303983984311,31.4341767926112,30.0339845635467,28.2489320911251,145.572369194648,71.2240551150019,93.613952508879,93.613952508879,28.2489320911251,22.5303983984311,30.0339845635467,40.9795552958727,145.572369194648,164.351911505013,0,29.492219402613,43.5005594952311,40.9795552958727,13.717937409081,0,40.9795552958727,145.572369194648,12.8486033602796,29.492219402613,145.572369194648,135.442784732104,31.4341767926112,13.717937409081,29.492219402613,28.2489320911251,151.256797327076,154.095501301547,0,0
"China",23.3095614719093,22.1821227184438,29.492219402613,0,0,0,0,0,163.961402564345,16.1976344036915,20.2465670336262,199.912063217574,22.1821227184438,31.7289095929743,98.3181382953319,29.492219402613,16.1976344036915,259.192549779393,29.492219402613,28.9340180635895,20.2465670336262,23.5715700741175,22.1821227184438,34.0592558181565,29.492219402613,183.515873120043,22.1821227184438,22.1821227184438,23.3095614719093,163.961402564345,108.363289505298,29.492219402613,171.694209278479,29.492219402613,184.786552455065,28.9340180635895,28.9340180635895,28.9340180635895,29.492219402613,182.540687692622,0,29.492219402613,29.492219402613,23.3095614719093,0,29.492219402613,29.492219402613,29.492219402613,171.694209278479,20.2465670336262,34.5116205180755,22.1821227184438,31.7289095929743,171.694209278479,99.2030421312236,120.555888609147,120.555888609147,31.7289095929743,20.2465670336262,22.1821227184438,37.9194508232797,171.694209278479,190.793558522827,29.492219402613,0,28.9340180635895,37.9194508232797,35.2794841430807,29.492219402613,37.9194508232797,171.694209278479,36.4969464857436,0,171.694209278479,163.961402564345,34.5116205180755,35.2794841430807,0,31.7289095929743,177.287039825415,181.214702292171,29.492219402613,29.492219402613
"China",23.3095614719093,22.1821227184438,29.492219402613,0,0,0,0,0,163.961402564345,16.1976344036915,20.2465670336262,199.912063217574,22.1821227184438,31.7289095929743,98.3181382953319,29.492219402613,16.1976344036915,259.192549779393,29.492219402613,28.9340180635895,20.2465670336262,23.5715700741175,22.1821227184438,34.0592558181565,29.492219402613,183.515873120043,22.1821227184438,22.1821227184438,23.3095614719093,163.961402564345,108.363289505298,29.492219402613,171.694209278479,29.492219402613,184.786552455065,28.9340180635895,28.9340180635895,28.9340180635895,29.492219402613,182.540687692622,0,29.492219402613,29.492219402613,23.3095614719093,0,29.492219402613,29.492219402613,29.492219402613,171.694209278479,20.2465670336262,34.5116205180755,22.1821227184438,31.7289095929743,171.694209278479,99.2030421312236,120.555888609147,120.555888609147,31.7289095929743,20.2465670336262,22.1821227184438,37.9194508232797,171.694209278479,190.793558522827,29.492219402613,0,28.9340180635895,37.9194508232797,35.2794841430807,29.492219402613,37.9194508232797,171.694209278479,36.4969464857436,0,171.694209278479,163.961402564345,34.5116205180755,35.2794841430807,0,31.7289095929743,177.287039825415,181.214702292171,29.492219402613,29.492219402613
"China",23.3095614719093,22.1821227184438,29.492219402613,0,0,0,0,0,163.961402564345,16.1976344036915,20.2465670336262,199.912063217574,22.1821227184438,31.7289095929743,98.3181382953319,29.492219402613,16.1976344036915,259.192549779393,29.492219402613,28.9340180635895,20.2465670336262,23.5715700741175,22.1821227184438,34.0592558181565,29.492219402613,183.515873120043,22.1821227184438,22.1821227184438,23.3095614719093,163.961402564345,108.363289505298,29.492219402613,171.694209278479,29.492219402613,184.786552455065,28.9340180635895,28.9340180635895,28.9340180635895,29.492219402613,182.540687692622,0,29.492219402613,29.492219402613,23.3095614719093,0,29.492219402613,29.492219402613,29.492219402613,171.694209278479,20.2465670336262,34.5116205180755,22.1821227184438,31.7289095929743,171.694209278479,99.2030421312236,120.555888609147,120.555888609147,31.7289095929743,20.2465670336262,22.1821227184438,37.9194508232797,171.694209278479,190.793558522827,29.492219402613,0,28.9340180635895,37.9194508232797,35.2794841430807,29.492219402613,37.9194508232797,171.694209278479,36.4969464857436,0,171.694209278479,163.961402564345,34.5116205180755,35.2794841430807,0,31.7289095929743,177.287039825415,181.214702292171,29.492219402613,29.492219402613
"China",23.3095614719093,22.1821227184438,29.492219402613,0,0,0,0,0,163.961402564345,16.1976344036915,20.2465670336262,199.912063217574,22.1821227184438,31.7289095929743,98.3181382953319,29.492219402613,16.1976344036915,259.192549779393,29.492219402613,28.9340180635895,20.2465670336262,23.5715700741175,22.1821227184438,34.0592558181565,29.492219402613,183.515873120043,22.1821227184438,22.1821227184438,23.3095614719093,163.961402564345,108.363289505298,29.492219402613,171.694209278479,29.492219402613,184.786552455065,28.9340180635895,28.9340180635895,28.9340180635895,29.492219402613,182.540687692622,0,29.492219402613,29.492219402613,23.3095614719093,0,29.492219402613,29.492219402613,29.492219402613,171.694209278479,20.2465670336262,34.5116205180755,22.1821227184438,31.7289095929743,171.694209278479,99.2030421312236,120.555888609147,120.555888609147,31.7289095929743,20.2465670336262,22.1821227184438,37.9194508232797,171.694209278479,190.793558522827,29.492219402613,0,28.9340180635895,37.9194508232797,35.2794841430807,29.492219402613,37.9194508232797,171.694209278479,36.4969464857436,0,171.694209278479,163.961402564345,34.5116205180755,35.2794841430807,0,31.7289095929743,177.287039825415,181.214702292171,29.492219402613,29.492219402613
"China",23.3095614719093,22.1821227184438,29.492219402613,0,0,0,0,0,163.961402564345,16.1976344036915,20.2465670336262,199.912063217574,22.1821227184438,31.7289095929743,98.3181382953319,29.492219402613,16.1976344036915,259.192549779393,29.492219402613,28.9340180635895,20.2465670336262,23.5715700741175,22.1821227184438,34.0592558181565,29.492219402613,183.515873120043,22.1821227184438,22.1821227184438,23.3095614719093,163.961402564345,108.363289505298,29.492219402613,171.694209278479,29.492219402613,184.786552455065,28.9340180635895,28.9340180635895,28.9340180635895,29.492219402613,182.540687692622,0,29.492219402613,29.492219402613,23.3095614719093,0,29.492219402613,29.492219402613,29.492219402613,171.694209278479,20.2465670336262,34.5116205180755,22.1821227184438,31.7289095929743,171.694209278479,99.2030421312236,120.555888609147,120.555888609147,31.7289095929743,20.2465670336262,22.1821227184438,37.9194508232797,171.694209278479,190.793558522827,29.492219402613,0,28.9340180635895,37.9194508232797,35.2794841430807,29.492219402613,37.9194508232797,171.694209278479,36.4969464857436,0,171.694209278479,163.961402564345,34.5116205180755,35.2794841430807,0,31.7289095929743,177.287039825415,181.214702292171,29.492219402613,29.492219402613
"Brazil",159.188516942968,162.681734337513,135.442784732104,163.961402564345,163.961402564345,163.961402564345,163.961402564345,163.961402564345,0,152.235923334846,155.853049928288,67.4658102207841,162.681734337513,155.002477359081,69.8650028981552,135.442784732104,152.235923334846,97.5424079301491,135.442784732104,175.802884191699,155.853049928288,186.557186782798,162.681734337513,196.753463820425,135.442784732104,26.8591493828884,162.681734337513,162.681734337513,159.188516942968,0,56.897614538305,135.442784732104,35.6151616331827,135.442784732104,23.6346057150897,175.802884191699,175.802884191699,175.802884191699,135.442784732104,44.1256484345317,163.961402564345,135.442784732104,135.442784732104,159.188516942968,163.961402564345,135.442784732104,135.442784732104,135.442784732104,35.6151616331827,155.853049928288,156.523156238938,162.681734337513,155.002477359081,35.6151616331827,64.9315804336554,47.2204476950267,47.2204476950267,155.002477359081,155.853049928288,162.681734337513,166.390759003479,35.6151616331827,42.9199358505462,135.442784732104,163.961402564345,175.802884191699,166.390759003479,129.215285638358,135.442784732104,166.390759003479,35.6151616331827,134.526133048101,163.961402564345,35.6151616331827,0,156.523156238938,129.215285638358,163.961402564345,155.002477359081,38.9509701282613,29.2261796530986,135.442784732104,135.442784732104
"Myanmar",13.002448304988,14.6136624691839,17.0444814473543,16.1976344036915,16.1976344036915,16.1976344036915,16.1976344036915,16.1976344036915,152.235923334846,0,7.86914281031994,192.268574299079,14.6136624691839,18.7010967174771,84.8155334156258,17.0444814473543,0,248.537225083231,17.0444814473543,27.3537872441797,7.86914281031994,34.7519710563013,14.6136624691839,44.6452254445434,17.0444814473543,170.597238977348,14.6136624691839,14.6136624691839,13.002448304988,152.235923334846,97.9966192770956,17.0444814473543,162.588123781541,17.0444814473543,173.77779161216,27.3537872441797,27.3537872441797,27.3537872441797,17.0444814473543,173.737588807665,16.1976344036915,17.0444814473543,17.0444814473543,13.002448304988,16.1976344036915,17.0444814473543,17.0444814473543,17.0444814473543,162.588123781541,7.86914281031994,22.016450604902,14.6136624691839,18.7010967174771,162.588123781541,88.2192570992926,110.657306801139,110.657306801139,18.7010967174771,7.86914281031994,14.6136624691839,28.9532978608763,162.588123781541,181.389148496726,17.0444814473543,16.1976344036915,27.3537872441797,28.9532978608763,27.9230037121038,17.0444814473543,28.9532978608763,162.588123781541,20.6825958370128,16.1976344036915,162.588123781541,152.235923334846,22.016450604902,27.9230037121038,16.1976344036915,18.7010967174771,168.266963190624,171.134595611556,17.0444814473543,17.0444814473543
