"","South Viet Nam","Guangdong","Guangzhou","Guangzhou","Guangzhou","Guangzhou","Sao Paulo","Hawaii","South Viet Nam","Tahiti","Jaipur","Bangkok","South Viet Nam","Shizuoka","Buenos Aires","South Viet Nam","South Viet Nam","Sao Paulo","Odisha","Hyderabad","Iquitos","Guangdong","Dhule","Jaipur","Nanhai","Pune","Vellore","Kolkata","South Viet Nam","Bangkok","South Viet Nam","Masaya","Jakarta","Karachi","Vellore","Makassar","Zhongshan","Cuiaba","Karachi","Guangzhou","Santander"
"South Viet Nam",0,1182456.47928557,1133299.15889631,1133299.15889631,1133299.15889631,1133299.15889631,17189647.8454955,10116124.5400325,0,11760082.7096485,3661420.24570672,840972.221421476,0,3804028.53496632,17369015.4640997,0,0,17189647.8454955,2573700.1152576,3210894.14214318,18851458.6678895,1182456.47928557,3630742.44057132,3661420.24570672,1117654.51679743,3706188.88651447,3156042.60739682,2303139.01441405,0,840972.221421476,0,16725292.5685272,2243065.11883762,4475925.78033322,3156042.60739682,2455551.74872005,1080978.22293818,18344920.3010612,4475925.78033322,1133299.15889631,17704837.5947264
"Guangdong",1182456.47928557,0,58072.3286214546,58072.3286214546,58072.3286214546,58072.3286214546,18030711.5739263,9222004.36868099,1182456.47928557,11450007.5342869,3835038.47954736,1757031.74655401,1182456.47928557,2707094.73023926,18551309.4454834,1182456.47928557,1182456.47928557,18030711.5739263,2963937.41449776,3732381.30646269,17707269.3139943,0,4019423.3271241,3835038.47954736,74358.7454952607,4172306.08374219,3831324.23997887,2602668.72374692,1182456.47928557,1757031.74655401,1182456.47928557,15542882.7405409,3354331.2750438,4732156.99465218,3831324.23997887,3215330.96503655,102689.211345591,18653585.6437399,4732156.99465218,58072.3286214546,16587905.0756792
"Guangzhou",1133299.15889631,58072.3286214546,0,0,0,0,17977520.4542591,9279244.59485537,1133299.15889631,11493079.057413,3792270.19840316,1699359.00183238,1133299.15889631,2764899.77759954,18502116.6336983,1133299.15889631,1133299.15889631,17977520.4542591,2913166.99382425,3679737.52016145,17750163.8382198,58072.3286214546,3970399.85250023,3792270.19840316,16631.017895795,4121442.25728933,3775801.75575492,2553303.79702872,1133299.15889631,1699359.00183238,1133299.15889631,15592591.5211913,3315627.81634834,4687958.58478772,3775801.75575492,3199173.00273656,68991.7352719984,18629739.9746404,4687958.58478772,0,16627016.5949345
"Guangzhou",1133299.15889631,58072.3286214546,0,0,0,0,17977520.4542591,9279244.59485537,1133299.15889631,11493079.057413,3792270.19840316,1699359.00183238,1133299.15889631,2764899.77759954,18502116.6336983,1133299.15889631,1133299.15889631,17977520.4542591,2913166.99382425,3679737.52016145,17750163.8382198,58072.3286214546,3970399.85250023,3792270.19840316,16631.017895795,4121442.25728933,3775801.75575492,2553303.79702872,1133299.15889631,1699359.00183238,1133299.15889631,15592591.5211913,3315627.81634834,4687958.58478772,3775801.75575492,3199173.00273656,68991.7352719984,18629739.9746404,4687958.58478772,0,16627016.5949345
"Guangzhou",1133299.15889631,58072.3286214546,0,0,0,0,17977520.4542591,9279244.59485537,1133299.15889631,11493079.057413,3792270.19840316,1699359.00183238,1133299.15889631,2764899.77759954,18502116.6336983,1133299.15889631,1133299.15889631,17977520.4542591,2913166.99382425,3679737.52016145,17750163.8382198,58072.3286214546,3970399.85250023,3792270.19840316,16631.017895795,4121442.25728933,3775801.75575492,2553303.79702872,1133299.15889631,1699359.00183238,1133299.15889631,15592591.5211913,3315627.81634834,4687958.58478772,3775801.75575492,3199173.00273656,68991.7352719984,18629739.9746404,4687958.58478772,0,16627016.5949345
"Guangzhou",1133299.15889631,58072.3286214546,0,0,0,0,17977520.4542591,9279244.59485537,1133299.15889631,11493079.057413,3792270.19840316,1699359.00183238,1133299.15889631,2764899.77759954,18502116.6336983,1133299.15889631,1133299.15889631,17977520.4542591,2913166.99382425,3679737.52016145,17750163.8382198,58072.3286214546,3970399.85250023,3792270.19840316,16631.017895795,4121442.25728933,3775801.75575492,2553303.79702872,1133299.15889631,1699359.00183238,1133299.15889631,15592591.5211913,3315627.81634834,4687958.58478772,3775801.75575492,3199173.00273656,68991.7352719984,18629739.9746404,4687958.58478772,0,16627016.5949345
"Sao Paulo",17189647.8454955,18030711.5739263,17977520.4542591,17977520.4542591,17977520.4542591,17977520.4542591,0,12744814.8129837,17189647.8454955,10483743.2017671,14265799.8571088,16408209.0098665,17189647.8454955,18650520.5343357,1673460.05966212,17189647.8454955,17189647.8454955,0,15071100.5548944,14298467.8842485,3604353.57221776,18030711.5739263,14025765.5436241,14265799.8571088,17964141.218444,13863190.3747019,14209827.7726329,15437922.7881754,17189647.8454955,16408209.0098665,17189647.8454955,5821577.56731197,15646115.6395941,13358590.511269,14209827.7726329,16492597.8439005,17983359.5725524,1325932.04101347,13358590.511269,17977520.4542591,4448230.6460222
"Hawaii",10116124.5400325,9222004.36868099,9279244.59485537,9279244.59485537,9279244.59485537,9279244.59485537,12744814.8129837,0,10116124.5400325,4207430.42080589,12436269.72842,10908774.6206386,10116124.5400325,6622156.33261502,11881571.6115046,10116124.5400325,10116124.5400325,12744814.8129837,12021330.5554222,12820325.321045,9356894.51339896,9222004.36868099,12920542.8597133,12436269.72842,9294559.70233937,13154094.5147622,13021453.759527,11639093.7525007,10116124.5400325,10908774.6206386,10116124.5400325,7445175.32110481,11036370.5495382,13251590.7942268,13021453.759527,9686942.00075184,9288672.62904133,11562175.5779746,13251590.7942268,9279244.59485537,8925981.75306414
"South Viet Nam",0,1182456.47928557,1133299.15889631,1133299.15889631,1133299.15889631,1133299.15889631,17189647.8454955,10116124.5400325,0,11760082.7096485,3661420.24570672,840972.221421476,0,3804028.53496632,17369015.4640997,0,0,17189647.8454955,2573700.1152576,3210894.14214318,18851458.6678895,1182456.47928557,3630742.44057132,3661420.24570672,1117654.51679743,3706188.88651447,3156042.60739682,2303139.01441405,0,840972.221421476,0,16725292.5685272,2243065.11883762,4475925.78033322,3156042.60739682,2455551.74872005,1080978.22293818,18344920.3010612,4475925.78033322,1133299.15889631,17704837.5947264
"Tahiti",11760082.7096485,11450007.5342869,11493079.057413,11493079.057413,11493079.057413,11493079.057413,10483743.2017671,4207430.42080589,11760082.7096485,0,15285004.8755963,12567158.3061068,11760082.7096485,9584799.58170232,9010911.10549086,11760082.7096485,11760082.7096485,10483743.2017671,14317390.0658356,14960405.87308,8425918.40871715,11450007.5342869,15387061.7481486,15285004.8755963,11502517.0499522,15462294.955876,14806027.23584,14000247.4084098,11760082.7096485,12567158.3061068,11760082.7096485,7692578.55128622,11250904.1181669,16178366.9351962,14806027.23584,9965855.35037534,11464240.0840213,9840896.12740727,16178366.9351962,11493079.057413,8745637.67757521
