"","Cambodia","Viet Nam","India","China","China","China","China","China","Brazil","Myanmar","Thailand","United States","Viet Nam","Malaysia","Angola","India","Myanmar","French Polynesia","India","Philippines","Thailand","South Korea","Viet Nam","Japan","India","Argentina","Viet Nam","Viet Nam","Cambodia","Brazil","Burkina Faso","India","Puerto Rico","India","Peru","Philippines","Philippines","Philippines","India","Cuba","China","India","India","Cambodia","China","India","India","India","Puerto Rico","Thailand","Singapore","Viet Nam","Malaysia","Puerto Rico","Nigeria","Senegal","Senegal","Malaysia","Thailand","Viet Nam","Indonesia","Puerto Rico","Nicaragua","India","China","Philippines","Indonesia","Pakistan","India","Indonesia","Puerto Rico","Sri Lanka","China","Puerto Rico","Brazil","Singapore","Pakistan","China","Malaysia","Haiti","Colombia","India","India"
"Cambodia",0,392473.658799857,2911710.18456438,2581767.33447502,2581767.33447502,2581767.33447502,2581767.33447502,2581767.33447502,17529517.0715793,1411164.81127757,565541.070688045,14099407.1540629,392473.658799857,981835.409790536,9977061.54116329,2911710.18456438,1411164.81127757,12065502.886915,2911710.18456438,1822715.58799878,565541.070688045,3450291.50798422,392473.658799857,4233513.58513969,2911710.18456438,16929117.1812063,392473.658799857,392473.658799857,0,17529517.0715793,11471801.8199679,2911710.18456438,16477739.4297486,2911710.18456438,19630529.5044725,1822715.58799878,1822715.58799878,1822715.58799878,2911710.18456438,16221472.2222023,2581767.33447502,2911710.18456438,2911710.18456438,0,2581767.33447502,2911710.18456438,2911710.18456438,2911710.18456438,16477739.4297486,565541.070688045,1246868.50918216,392473.658799857,981835.409790536,16477739.4297486,10477369.1515053,12715006.8379423,12715006.8379423,981835.409790536,565541.070688045,392473.658799857,1776153.53436979,16477739.4297486,16978924.5763396,2911710.18456438,2581767.33447502,1822715.58799878,1776153.53436979,4161006.86724844,2911710.18456438,1776153.53436979,16477739.4297486,2702442.53513381,2581767.33447502,16477739.4297486,17529517.0715793,1246868.50918216,4161006.86724844,2581767.33447502,981835.409790536,16503243.5499039,18107258.0564356,2911710.18456438,2911710.18456438
"Viet Nam",392473.658799857,0,3193812.48550172,2449615.78546478,2449615.78546478,2449615.78546478,2449615.78546478,2449615.78546478,17898568.2140711,1566920.24545396,808761.542839056,13814058.6039982,0,1290295.51368974,10358203.5345664,3193812.48550172,1566920.24545396,11762641.7234253,3193812.48550172,1466992.84953744,808761.542839056,3105824.642409,0,3863628.37870531,3193812.48550172,17191313.6191567,0,0,392473.658799857,17898568.2140711,11765619.8636894,3193812.48550172,16390313.1193269,3193812.48550172,19365997.7216168,1466992.84953744,1466992.84953744,1466992.84953744,3193812.48550172,16013884.5275178,2449615.78546478,3193812.48550172,3193812.48550172,392473.658799857,2449615.78546478,3193812.48550172,3193812.48550172,3193812.48550172,16390313.1193269,808761.542839056,1488493.87190405,0,1290295.51368974,16390313.1193269,10796289.9256091,12975750.5390111,12975750.5390111,1290295.51368974,808761.542839056,0,1756037.24266809,16390313.1193269,16682068.9601001,3193812.48550172,2449615.78546478,1466992.84953744,1756037.24266809,4372686.68744927,3193812.48550172,1756037.24266809,16390313.1193269,3080590.50962752,2449615.78546478,16390313.1193269,17898568.2140711,1488493.87190405,4372686.68744927,2449615.78546478,1290295.51368974,16350142.689186,17924771.8305642,3193812.48550172,3193812.48550172
"India",2911710.18456438,3193812.48550172,0,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,2984384.40855957,14786726.7764834,1768919.4738407,2385678.58265188,13595100.2147985,3193812.48550172,3081285.36852024,7552972.16309478,0,1768919.4738407,14952230.4681685,0,4630752.91322594,2385678.58265188,5023111.01108752,3193812.48550172,5967874.80650014,0,15931070.2557653,3193812.48550172,3193812.48550172,2911710.18456438,14786726.7764834,8571812.3147628,0,14311254.6306172,0,16965035.3809337,4630752.91322594,4630752.91322594,4630752.91322594,0,14709852.471536,2984384.40855957,0,0,2911710.18456438,2984384.40855957,0,0,0,14311254.6306172,2385678.58265188,3439525.40055758,3193812.48550172,3081285.36852024,14311254.6306172,7620212.40674334,9803928.84972312,9803928.84972312,3081285.36852024,2385678.58265188,3193812.48550172,4482530.89460117,14311254.6306172,15923276.7137448,0,2984384.40855957,4630752.91322594,4482530.89460117,1450947.26708013,0,4482530.89460117,14311254.6306172,1420889.14335729,2984384.40855957,14311254.6306172,14786726.7764834,3439525.40055758,1450947.26708013,2984384.40855957,3081285.36852024,14630836.1409484,15985147.0415529,0,0
"China",2581767.33447502,2449615.78546478,2984384.40855957,0,0,0,0,0,16638364.5797424,1740299.43451399,2237673.62037567,11671172.6808081,2449615.78546478,3512022.98974191,10406703.1299104,2984384.40855957,1740299.43451399,12601197.440978,2984384.40855957,3096480.44528784,2237673.62037567,2123179.55914044,2449615.78546478,3053706.42394554,2984384.40855957,18905378.043532,2449615.78546478,2449615.78546478,2581767.33447502,16638364.5797424,10601075.0027191,2984384.40855957,13940699.1682433,2984384.40855957,17048934.2718069,3096480.44528784,3096480.44528784,3096480.44528784,2984384.40855957,13649506.8608463,0,2984384.40855957,2984384.40855957,2581767.33447502,0,2984384.40855957,2984384.40855957,2984384.40855957,13940699.1682433,2237673.62037567,3820884.07491228,2449615.78546478,3512022.98974191,13940699.1682433,9919640.78481084,11498905.9790656,11498905.9790656,3512022.98974191,2237673.62037567,2449615.78546478,4181082.61944747,13940699.1682433,14521787.5436052,2984384.40855957,0,3096480.44528784,4181082.61944747,3291044.23363317,2984384.40855957,4181082.61944747,13940699.1682433,3909276.36991623,0,13940699.1682433,16638364.5797424,3820884.07491228,3291044.23363317,0,3512022.98974191,13924028.9404258,15525577.8509917,2984384.40855957,2984384.40855957
"China",2581767.33447502,2449615.78546478,2984384.40855957,0,0,0,0,0,16638364.5797424,1740299.43451399,2237673.62037567,11671172.6808081,2449615.78546478,3512022.98974191,10406703.1299104,2984384.40855957,1740299.43451399,12601197.440978,2984384.40855957,3096480.44528784,2237673.62037567,2123179.55914044,2449615.78546478,3053706.42394554,2984384.40855957,18905378.043532,2449615.78546478,2449615.78546478,2581767.33447502,16638364.5797424,10601075.0027191,2984384.40855957,13940699.1682433,2984384.40855957,17048934.2718069,3096480.44528784,3096480.44528784,3096480.44528784,2984384.40855957,13649506.8608463,0,2984384.40855957,2984384.40855957,2581767.33447502,0,2984384.40855957,2984384.40855957,2984384.40855957,13940699.1682433,2237673.62037567,3820884.07491228,2449615.78546478,3512022.98974191,13940699.1682433,9919640.78481084,11498905.9790656,11498905.9790656,3512022.98974191,2237673.62037567,2449615.78546478,4181082.61944747,13940699.1682433,14521787.5436052,2984384.40855957,0,3096480.44528784,4181082.61944747,3291044.23363317,2984384.40855957,4181082.61944747,13940699.1682433,3909276.36991623,0,13940699.1682433,16638364.5797424,3820884.07491228,3291044.23363317,0,3512022.98974191,13924028.9404258,15525577.8509917,2984384.40855957,2984384.40855957
"China",2581767.33447502,2449615.78546478,2984384.40855957,0,0,0,0,0,16638364.5797424,1740299.43451399,2237673.62037567,11671172.6808081,2449615.78546478,3512022.98974191,10406703.1299104,2984384.40855957,1740299.43451399,12601197.440978,2984384.40855957,3096480.44528784,2237673.62037567,2123179.55914044,2449615.78546478,3053706.42394554,2984384.40855957,18905378.043532,2449615.78546478,2449615.78546478,2581767.33447502,16638364.5797424,10601075.0027191,2984384.40855957,13940699.1682433,2984384.40855957,17048934.2718069,3096480.44528784,3096480.44528784,3096480.44528784,2984384.40855957,13649506.8608463,0,2984384.40855957,2984384.40855957,2581767.33447502,0,2984384.40855957,2984384.40855957,2984384.40855957,13940699.1682433,2237673.62037567,3820884.07491228,2449615.78546478,3512022.98974191,13940699.1682433,9919640.78481084,11498905.9790656,11498905.9790656,3512022.98974191,2237673.62037567,2449615.78546478,4181082.61944747,13940699.1682433,14521787.5436052,2984384.40855957,0,3096480.44528784,4181082.61944747,3291044.23363317,2984384.40855957,4181082.61944747,13940699.1682433,3909276.36991623,0,13940699.1682433,16638364.5797424,3820884.07491228,3291044.23363317,0,3512022.98974191,13924028.9404258,15525577.8509917,2984384.40855957,2984384.40855957
"China",2581767.33447502,2449615.78546478,2984384.40855957,0,0,0,0,0,16638364.5797424,1740299.43451399,2237673.62037567,11671172.6808081,2449615.78546478,3512022.98974191,10406703.1299104,2984384.40855957,1740299.43451399,12601197.440978,2984384.40855957,3096480.44528784,2237673.62037567,2123179.55914044,2449615.78546478,3053706.42394554,2984384.40855957,18905378.043532,2449615.78546478,2449615.78546478,2581767.33447502,16638364.5797424,10601075.0027191,2984384.40855957,13940699.1682433,2984384.40855957,17048934.2718069,3096480.44528784,3096480.44528784,3096480.44528784,2984384.40855957,13649506.8608463,0,2984384.40855957,2984384.40855957,2581767.33447502,0,2984384.40855957,2984384.40855957,2984384.40855957,13940699.1682433,2237673.62037567,3820884.07491228,2449615.78546478,3512022.98974191,13940699.1682433,9919640.78481084,11498905.9790656,11498905.9790656,3512022.98974191,2237673.62037567,2449615.78546478,4181082.61944747,13940699.1682433,14521787.5436052,2984384.40855957,0,3096480.44528784,4181082.61944747,3291044.23363317,2984384.40855957,4181082.61944747,13940699.1682433,3909276.36991623,0,13940699.1682433,16638364.5797424,3820884.07491228,3291044.23363317,0,3512022.98974191,13924028.9404258,15525577.8509917,2984384.40855957,2984384.40855957
"China",2581767.33447502,2449615.78546478,2984384.40855957,0,0,0,0,0,16638364.5797424,1740299.43451399,2237673.62037567,11671172.6808081,2449615.78546478,3512022.98974191,10406703.1299104,2984384.40855957,1740299.43451399,12601197.440978,2984384.40855957,3096480.44528784,2237673.62037567,2123179.55914044,2449615.78546478,3053706.42394554,2984384.40855957,18905378.043532,2449615.78546478,2449615.78546478,2581767.33447502,16638364.5797424,10601075.0027191,2984384.40855957,13940699.1682433,2984384.40855957,17048934.2718069,3096480.44528784,3096480.44528784,3096480.44528784,2984384.40855957,13649506.8608463,0,2984384.40855957,2984384.40855957,2581767.33447502,0,2984384.40855957,2984384.40855957,2984384.40855957,13940699.1682433,2237673.62037567,3820884.07491228,2449615.78546478,3512022.98974191,13940699.1682433,9919640.78481084,11498905.9790656,11498905.9790656,3512022.98974191,2237673.62037567,2449615.78546478,4181082.61944747,13940699.1682433,14521787.5436052,2984384.40855957,0,3096480.44528784,4181082.61944747,3291044.23363317,2984384.40855957,4181082.61944747,13940699.1682433,3909276.36991623,0,13940699.1682433,16638364.5797424,3820884.07491228,3291044.23363317,0,3512022.98974191,13924028.9404258,15525577.8509917,2984384.40855957,2984384.40855957
"Brazil",17529517.0715793,17898568.2140711,14786726.7764834,16638364.5797424,16638364.5797424,16638364.5797424,16638364.5797424,16638364.5797424,0,16534985.0384353,17119391.8635444,7300569.28545571,17898568.2140711,16961599.9327095,7560522.00600925,14786726.7764834,16534985.0384353,10311754.7667311,14786726.7764834,19335840.0095175,17119391.8635444,17602777.9728399,17898568.2140711,17370831.6351556,14786726.7764834,2916346.68838207,17898568.2140711,17898568.2140711,17529517.0715793,0,6279252.82536374,14786726.7764834,3934055.18065764,14786726.7764834,2576714.79246764,19335840.0095175,19335840.0095175,19335840.0095175,14786726.7764834,4860241.3986547,16638364.5797424,14786726.7764834,14786726.7764834,17529517.0715793,16638364.5797424,14786726.7764834,14786726.7764834,14786726.7764834,3934055.18065764,17119391.8635444,17003859.3673993,17898568.2140711,16961599.9327095,3934055.18065764,7170553.38894839,5208887.91684853,5208887.91684853,16961599.9327095,17119391.8635444,17898568.2140711,17739901.6343586,3934055.18065764,4738225.98729955,14786726.7764834,16638364.5797424,19335840.0095175,17739901.6343586,13788932.1347799,14786726.7764834,17739901.6343586,3934055.18065764,14827746.453482,16638364.5797424,3934055.18065764,0,17003859.3673993,13788932.1347799,16638364.5797424,16961599.9327095,4298041.79969128,3229107.07065485,14786726.7764834,14786726.7764834
"Myanmar",1411164.81127757,1566920.24545396,1768919.4738407,1740299.43451399,1740299.43451399,1740299.43451399,1740299.43451399,1740299.43451399,16534985.0384353,0,853889.958536906,13359978.8526763,1566920.24545396,2063921.86941227,9272582.83960112,1768919.4738407,0,13217617.1972201,1768919.4738407,2914546.91055817,853889.958536906,3446373.05201968,1566920.24545396,4371935.55719186,1768919.4738407,17342412.9726708,1566920.24545396,1566920.24545396,1411164.81127757,16534985.0384353,10272754.0039317,1768919.4738407,15178847.8835713,1768919.4738407,18305876.042137,2914546.91055817,2914546.91055817,2914546.91055817,1768919.4738407,15151278.019416,1740299.43451399,1768919.4738407,1768919.4738407,1411164.81127757,1740299.43451399,1768919.4738407,1768919.4738407,1768919.4738407,15178847.8835713,853889.958536906,2429431.14579191,1566920.24545396,2063921.86941227,15178847.8835713,9365463.99895989,11434706.2169034,11434706.2169034,2063921.86941227,853889.958536906,1566920.24545396,3180908.85780889,15178847.8835713,16154523.4506355,1768919.4738407,1740299.43451399,2914546.91055817,3180908.85780889,2812732.8775781,1768919.4738407,3180908.85780889,15178847.8835713,2250982.53881857,1740299.43451399,15178847.8835713,16534985.0384353,2429431.14579191,2812732.8775781,1740299.43451399,2063921.86941227,15305558.4871381,16890988.544655,1768919.4738407,1768919.4738407
