"","2007","2014","1997","1995","1991","2003","2008","1944","2008","2009","1971","1981","2007","2014","2009","2006","2007","2008","2011","2009","2002","2012","1996","1971","1998","2005","1960","1980","2007","1990","2006","2000","2004","2008","1966","2008","2013","2012","2009","1978","1997"
"2007",0,7,10,12,16,4,1,63,1,2,36,26,0,7,2,1,0,1,4,2,5,5,11,36,9,2,47,27,0,17,1,7,3,1,41,1,6,5,2,29,10
"2014",7,0,17,19,23,11,6,70,6,5,43,33,7,0,5,8,7,6,3,5,12,2,18,43,16,9,54,34,7,24,8,14,10,6,48,6,1,2,5,36,17
"1997",10,17,0,2,6,6,11,53,11,12,26,16,10,17,12,9,10,11,14,12,5,15,1,26,1,8,37,17,10,7,9,3,7,11,31,11,16,15,12,19,0
"1995",12,19,2,0,4,8,13,51,13,14,24,14,12,19,14,11,12,13,16,14,7,17,1,24,3,10,35,15,12,5,11,5,9,13,29,13,18,17,14,17,2
"1991",16,23,6,4,0,12,17,47,17,18,20,10,16,23,18,15,16,17,20,18,11,21,5,20,7,14,31,11,16,1,15,9,13,17,25,17,22,21,18,13,6
"2003",4,11,6,8,12,0,5,59,5,6,32,22,4,11,6,3,4,5,8,6,1,9,7,32,5,2,43,23,4,13,3,3,1,5,37,5,10,9,6,25,6
"2008",1,6,11,13,17,5,0,64,0,1,37,27,1,6,1,2,1,0,3,1,6,4,12,37,10,3,48,28,1,18,2,8,4,0,42,0,5,4,1,30,11
"1944",63,70,53,51,47,59,64,0,64,65,27,37,63,70,65,62,63,64,67,65,58,68,52,27,54,61,16,36,63,46,62,56,60,64,22,64,69,68,65,34,53
"2008",1,6,11,13,17,5,0,64,0,1,37,27,1,6,1,2,1,0,3,1,6,4,12,37,10,3,48,28,1,18,2,8,4,0,42,0,5,4,1,30,11
"2009",2,5,12,14,18,6,1,65,1,0,38,28,2,5,0,3,2,1,2,0,7,3,13,38,11,4,49,29,2,19,3,9,5,1,43,1,4,3,0,31,12
"1971",36,43,26,24,20,32,37,27,37,38,0,10,36,43,38,35,36,37,40,38,31,41,25,0,27,34,11,9,36,19,35,29,33,37,5,37,42,41,38,7,26
"1981",26,33,16,14,10,22,27,37,27,28,10,0,26,33,28,25,26,27,30,28,21,31,15,10,17,24,21,1,26,9,25,19,23,27,15,27,32,31,28,3,16
"2007",0,7,10,12,16,4,1,63,1,2,36,26,0,7,2,1,0,1,4,2,5,5,11,36,9,2,47,27,0,17,1,7,3,1,41,1,6,5,2,29,10
"2014",7,0,17,19,23,11,6,70,6,5,43,33,7,0,5,8,7,6,3,5,12,2,18,43,16,9,54,34,7,24,8,14,10,6,48,6,1,2,5,36,17
"2009",2,5,12,14,18,6,1,65,1,0,38,28,2,5,0,3,2,1,2,0,7,3,13,38,11,4,49,29,2,19,3,9,5,1,43,1,4,3,0,31,12
"2006",1,8,9,11,15,3,2,62,2,3,35,25,1,8,3,0,1,2,5,3,4,6,10,35,8,1,46,26,1,16,0,6,2,2,40,2,7,6,3,28,9
"2007",0,7,10,12,16,4,1,63,1,2,36,26,0,7,2,1,0,1,4,2,5,5,11,36,9,2,47,27,0,17,1,7,3,1,41,1,6,5,2,29,10
"2008",1,6,11,13,17,5,0,64,0,1,37,27,1,6,1,2,1,0,3,1,6,4,12,37,10,3,48,28,1,18,2,8,4,0,42,0,5,4,1,30,11
"2011",4,3,14,16,20,8,3,67,3,2,40,30,4,3,2,5,4,3,0,2,9,1,15,40,13,6,51,31,4,21,5,11,7,3,45,3,2,1,2,33,14
"2009",2,5,12,14,18,6,1,65,1,0,38,28,2,5,0,3,2,1,2,0,7,3,13,38,11,4,49,29,2,19,3,9,5,1,43,1,4,3,0,31,12
"2002",5,12,5,7,11,1,6,58,6,7,31,21,5,12,7,4,5,6,9,7,0,10,6,31,4,3,42,22,5,12,4,2,2,6,36,6,11,10,7,24,5
"2012",5,2,15,17,21,9,4,68,4,3,41,31,5,2,3,6,5,4,1,3,10,0,16,41,14,7,52,32,5,22,6,12,8,4,46,4,1,0,3,34,15
"1996",11,18,1,1,5,7,12,52,12,13,25,15,11,18,13,10,11,12,15,13,6,16,0,25,2,9,36,16,11,6,10,4,8,12,30,12,17,16,13,18,1
"1971",36,43,26,24,20,32,37,27,37,38,0,10,36,43,38,35,36,37,40,38,31,41,25,0,27,34,11,9,36,19,35,29,33,37,5,37,42,41,38,7,26
"1998",9,16,1,3,7,5,10,54,10,11,27,17,9,16,11,8,9,10,13,11,4,14,2,27,0,7,38,18,9,8,8,2,6,10,32,10,15,14,11,20,1
