"","2001","2007","1956","2014","1997","1995","1991","2003","2008","2002","1995","1944","2008","1972","2013","2013","1998","2009","1971","2016","1981","2004","2007","2014","2007","2009","2006","2007","2008","2008","1986","2011","2006","2009","2002","2001","1998","2000","2007","1981","2012","1996","1971","2001","1998","2005","1960","1980","1969","1964","2012","2007","2008","2002","1966","1999","1974","1970","1990","2006","1975","1994","2000","1984","2013","1997","2004","2008","1966","2008","2005","1989","2013","1994","2012","2005","2009","1978","1975","2014","1997","1961","1979"
"2001",0,6,45,13,4,6,10,2,7,1,6,57,7,29,12,12,3,8,30,15,20,3,6,13,6,8,5,6,7,7,15,10,5,8,1,0,3,1,6,20,11,5,30,0,3,4,41,21,32,37,11,6,7,1,35,2,27,31,11,5,26,7,1,17,12,4,3,7,35,7,4,12,12,7,11,4,8,23,26,13,4,40,22
"2007",6,0,51,7,10,12,16,4,1,5,12,63,1,35,6,6,9,2,36,9,26,3,0,7,0,2,1,0,1,1,21,4,1,2,5,6,9,7,0,26,5,11,36,6,9,2,47,27,38,43,5,0,1,5,41,8,33,37,17,1,32,13,7,23,6,10,3,1,41,1,2,18,6,13,5,2,2,29,32,7,10,46,28
"1956",45,51,0,58,41,39,35,47,52,46,39,12,52,16,57,57,42,53,15,60,25,48,51,58,51,53,50,51,52,52,30,55,50,53,46,45,42,44,51,25,56,40,15,45,42,49,4,24,13,8,56,51,52,46,10,43,18,14,34,50,19,38,44,28,57,41,48,52,10,52,49,33,57,38,56,49,53,22,19,58,41,5,23
"2014",13,7,58,0,17,19,23,11,6,12,19,70,6,42,1,1,16,5,43,2,33,10,7,0,7,5,8,7,6,6,28,3,8,5,12,13,16,14,7,33,2,18,43,13,16,9,54,34,45,50,2,7,6,12,48,15,40,44,24,8,39,20,14,30,1,17,10,6,48,6,9,25,1,20,2,9,5,36,39,0,17,53,35
"1997",4,10,41,17,0,2,6,6,11,5,2,53,11,25,16,16,1,12,26,19,16,7,10,17,10,12,9,10,11,11,11,14,9,12,5,4,1,3,10,16,15,1,26,4,1,8,37,17,28,33,15,10,11,5,31,2,23,27,7,9,22,3,3,13,16,0,7,11,31,11,8,8,16,3,15,8,12,19,22,17,0,36,18
"1995",6,12,39,19,2,0,4,8,13,7,0,51,13,23,18,18,3,14,24,21,14,9,12,19,12,14,11,12,13,13,9,16,11,14,7,6,3,5,12,14,17,1,24,6,3,10,35,15,26,31,17,12,13,7,29,4,21,25,5,11,20,1,5,11,18,2,9,13,29,13,10,6,18,1,17,10,14,17,20,19,2,34,16
"1991",10,16,35,23,6,4,0,12,17,11,4,47,17,19,22,22,7,18,20,25,10,13,16,23,16,18,15,16,17,17,5,20,15,18,11,10,7,9,16,10,21,5,20,10,7,14,31,11,22,27,21,16,17,11,25,8,17,21,1,15,16,3,9,7,22,6,13,17,25,17,14,2,22,3,21,14,18,13,16,23,6,30,12
"2003",2,4,47,11,6,8,12,0,5,1,8,59,5,31,10,10,5,6,32,13,22,1,4,11,4,6,3,4,5,5,17,8,3,6,1,2,5,3,4,22,9,7,32,2,5,2,43,23,34,39,9,4,5,1,37,4,29,33,13,3,28,9,3,19,10,6,1,5,37,5,2,14,10,9,9,2,6,25,28,11,6,42,24
"2008",7,1,52,6,11,13,17,5,0,6,13,64,0,36,5,5,10,1,37,8,27,4,1,6,1,1,2,1,0,0,22,3,2,1,6,7,10,8,1,27,4,12,37,7,10,3,48,28,39,44,4,1,0,6,42,9,34,38,18,2,33,14,8,24,5,11,4,0,42,0,3,19,5,14,4,3,1,30,33,6,11,47,29
"2002",1,5,46,12,5,7,11,1,6,0,7,58,6,30,11,11,4,7,31,14,21,2,5,12,5,7,4,5,6,6,16,9,4,7,0,1,4,2,5,21,10,6,31,1,4,3,42,22,33,38,10,5,6,0,36,3,28,32,12,4,27,8,2,18,11,5,2,6,36,6,3,13,11,8,10,3,7,24,27,12,5,41,23
"1995",6,12,39,19,2,0,4,8,13,7,0,51,13,23,18,18,3,14,24,21,14,9,12,19,12,14,11,12,13,13,9,16,11,14,7,6,3,5,12,14,17,1,24,6,3,10,35,15,26,31,17,12,13,7,29,4,21,25,5,11,20,1,5,11,18,2,9,13,29,13,10,6,18,1,17,10,14,17,20,19,2,34,16
