"","FJ461303","KP723473","FJ196847","FJ196846","FJ196845","FJ196842","GU131863","EU848545","GU131792","JQ915076","JQ922546","AY732483","FJ898385","LC011949","KC692498","EU482814","FJ882548","HM181971","JQ955624","JX475906","KC294216","KC131142","JQ922549","JQ922550","KC964095","JQ922551","JQ922552","JQ922553","FJ410195","DQ181801","EU482666","FJ744745","AY858037","KF041254","JQ922555","KC762690","KF954948","KJ579242","KF041260","FJ196849","FJ024476"
"FJ461303",0,6147,2965,5191,3663,4203,4135,3401,1959,6059,4021,2181,1727,1151,4825,913,1205,14148,19242,14848,14282,20224,17110,14100,13082,16674,15574,14666,13970,15726,12744,14670,10991,14281,13415,12001,14551,16626,19780,19258,17844
"KP723473",6147,0,4692,4310,4566,5370,3504,4018,5202,4694,3716,4694,4514,5542,4440,5578,5144,17005,17575,15329,16559,20059,15037,12239,14889,16023,11759,13669,16639,17825,15879,18149,10430,12162,12128,11408,10998,15219,15651,15287,16447
"FJ196847",2965,4692,0,3312,3152,3322,3986,3328,2464,4776,2912,1586,1916,3130,4350,2132,2870,17695,20769,18125,16875,24111,19775,15387,15679,18227,15931,16645,15935,20237,16555,17683,10962,14608,13698,14214,14216,17505,22067,19895,19709
"FJ196846",5191,4310,3312,0,2138,3362,4760,2432,3684,1712,4422,3224,3632,4344,5166,4316,4870,18951,21459,19269,17835,23627,19751,14629,15955,20297,13943,15869,16955,19407,17465,19675,11362,15952,15032,13452,15638,15103,17341,16817,17511
"FJ196845",3663,4566,3152,2138,0,2836,4270,2664,3490,2964,3288,2706,3322,2894,4496,2764,3140,15519,20493,16779,15873,21349,18127,12419,14521,18085,12965,14703,14695,17549,14635,16899,10212,12922,12068,11676,12666,15821,18887,17949,18279
"FJ196842",4203,5370,3322,3362,2836,0,4724,3180,4372,3290,5452,3742,3600,3406,5804,2706,3772,15255,19059,15545,15221,18975,18115,13545,13751,17161,13943,15241,13283,17009,13539,16271,11178,14262,14220,13070,13656,15771,18721,16071,16365
"GU131863",4135,3504,3986,4760,4270,4724,0,3310,3876,4590,2860,4322,3152,3702,3624,3702,3988,15077,18119,14543,15149,20875,16313,11569,13345,15155,12255,11435,14009,15999,13115,15379,12424,16124,14644,14302,15148,18823,19211,19341,19375
"EU848545",3401,4018,3328,2432,2664,3180,3310,0,3466,3734,3548,2174,3450,3206,3728,3310,2878,18007,20677,16827,17719,22737,18531,14121,15853,18827,14099,15273,15829,19023,16129,19369,12916,16294,14778,13022,15648,13475,15125,13969,15273
"GU131792",1959,5202,2464,3684,3490,4372,3876,3466,0,5174,3472,2106,578,1818,4850,1844,1960,16205,22041,18617,16229,24485,19539,14835,15089,18847,15025,15171,15529,18491,14963,16809,11322,16080,14830,14136,15536,19093,21549,21253,20567
"JQ915076",6059,4694,4776,1712,2964,3290,4590,3734,5174,0,5446,4340,4542,4654,6492,4592,6056,15673,17207,15911,14247,18703,15841,12329,12775,16163,11537,13389,13527,15693,13909,16137,12094,16022,16280,14108,15270,16547,18325,18191,18623
"JQ922546",4021,3716,2912,4422,3288,5452,2860,3548,3472,5446,0,2382,2888,3666,3520,3654,3618,14831,19417,16281,15095,21831,17307,12837,14817,16401,13667,14053,15269,17419,14401,15685,10816,13916,12694,13126,13422,18529,20631,19537,20021
"AY732483",2181,4694,1586,3224,2706,3742,4322,2174,2106,4340,2382,0,1766,2420,3714,2038,2246,17299,20929,17691,16349,22695,19017,14643,16017,18735,15103,16589,16229,19069,15769,17781,11362,14806,12988,13436,14436,15691,19849,17791,17683
"FJ898385",1727,4514,1916,3632,3322,3600,3152,3450,578,4542,2888,1766,0,1456,4340,1432,1772,15327,20371,16927,15213,22813,18203,13467,13755,17127,14087,14239,14429,17721,14261,15865,10016,15192,13934,12948,14286,18401,21259,20245,19583
"LC011949",1151,5542,3130,4344,2894,3406,3702,3206,1818,4654,3666,2420,1456,0,5330,948,1010,13487,19069,14667,13597,19471,16871,12719,11923,16413,14471,14123,12951,14997,11895,14605,9690,13434,13216,10704,13344,17551,20423,20155,19173
