"","AY871813","EU282328","AB550408","JX556922","JN832500","JN832506","JN575585","JX556940","HM210481","DQ181846","DQ181856","AY732464","DQ181807","DQ917244","AM746226","AF425619","HM237348","KP858119","KT012508","AB915384","JN036390","KF041250","DQ453981","AY676385","AY676407","KF709426","KM222447","KM216708","KM222448"
"AY871813",0,3134,2640,2548,2848,2306,2206,2670,964,708,680,2294,566,1534,570,2824,2440,3316,670,2384,2644,2712,2624,2222,2650,2544,727,615,2783
"EU282328",3134,0,546,3050,4396,3370,3402,3258,2306,2558,2824,1144,3100,2948,2504,844,3450,1004,2882,896,2580,2756,3154,2608,2800,3162,3187,3433,3667
"AB550408",2640,546,0,2660,4028,3052,3172,2878,1940,2200,2512,986,2698,2216,2278,704,3126,730,2586,618,2306,2312,2660,2258,2310,2628,2829,3105,3163
"JX556922",2548,3050,2660,0,712,828,868,266,2850,2804,2178,2984,2418,1850,2780,2410,676,3214,2666,2346,1664,1624,2386,1542,1722,2484,2829,3087,2569
"JN832500",2848,4396,4028,712,0,430,572,662,3754,3496,2842,4076,2902,2222,3558,3562,874,4828,3216,3694,2426,2480,2980,2142,2446,3072,3307,3419,3493
"JN832506",2306,3370,3052,828,430,0,570,610,3210,2926,2520,3254,2554,2056,3012,2944,888,3964,2632,3096,2462,2466,3116,2166,2390,3138,2955,2975,3407
"JN575585",2206,3402,3172,868,572,570,0,592,2978,2588,2410,2984,2300,1626,2718,2790,784,3900,2394,2708,1692,2076,2430,1408,1606,2464,2573,2615,2623
"JX556940",2670,3258,2878,266,662,610,592,0,3104,2864,2512,3112,2586,1800,2956,2646,478,3634,2724,2620,1882,1976,2800,1676,1826,2830,2929,3259,2675
"HM210481",964,2306,1940,2850,3754,3210,2978,3104,0,382,682,1880,590,1444,662,2356,2874,2444,704,1790,2790,2526,2684,2362,2754,2534,847,963,2679
"DQ181846",708,2558,2200,2804,3496,2926,2588,2864,382,0,640,2036,582,1348,594,2594,2644,2936,556,2198,2836,2676,2816,2354,2830,2734,821,731,2743
"DQ181856",680,2824,2512,2178,2842,2520,2410,2512,682,640,0,2048,258,1250,456,2370,2400,2838,590,2072,2242,2112,2342,1980,2230,2252,689,583,2683
"AY732464",2294,1144,986,2984,4076,3254,2984,3112,1880,2036,2048,0,2108,1862,1704,596,3072,862,2070,730,2378,2516,2582,2378,2352,2474,2227,2569,2939
"DQ181807",566,3100,2698,2418,2902,2554,2300,2586,590,582,258,2108,0,1188,460,2572,2482,2944,492,2272,2284,2106,2240,1994,2276,2140,481,515,2465
"DQ917244",1534,2948,2216,1850,2222,2056,1626,1800,1444,1348,1250,1862,1188,0,1440,2050,1738,2716,1578,1978,1892,2030,2502,1580,1636,2286,1543,1773,2215
"AM746226",570,2504,2278,2780,3558,3012,2718,2956,662,594,456,1704,460,1440,0,2336,2704,2674,470,1892,2582,2696,2922,2340,2710,2724,695,611,2905
"AF425619",2824,844,704,2410,3562,2944,2790,2646,2356,2594,2370,596,2572,2050,2336,0,3052,568,2670,522,1796,2198,2366,1910,1826,2366,2653,3043,3111
"HM237348",2440,3450,3126,676,874,888,784,478,2874,2644,2400,3072,2482,1738,2704,3052,0,4146,2752,3014,2314,2332,3090,2102,2144,3014,3019,3255,2845
"KP858119",3316,1004,730,3214,4828,3964,3900,3634,2444,2936,2838,862,2944,2716,2674,568,4146,0,2980,636,2338,2344,2726,2398,2460,2746,3095,3513,3475
"KT012508",670,2882,2586,2666,3216,2632,2394,2724,704,556,590,2070,492,1578,470,2670,2752,2980,0,2226,2782,2838,3134,2266,2934,3130,713,517,2995
"AB915384",2384,896,618,2346,3694,3096,2708,2620,1790,2198,2072,730,2272,1978,1892,522,3014,636,2226,0,1610,2128,2040,1852,1802,2054,2251,2637,2761
"JN036390",2644,2580,2306,1664,2426,2462,1692,1882,2790,2836,2242,2378,2284,1892,2582,1796,2314,2338,2782,1610,0,622,866,318,198,782,2561,2887,1761
"KF041250",2712,2756,2312,1624,2480,2466,2076,1976,2526,2676,2112,2516,2106,2030,2696,2198,2332,2344,2838,2128,622,0,622,564,558,620,2645,2965,1709
"DQ453981",2624,3154,2660,2386,2980,3116,2430,2800,2684,2816,2342,2582,2240,2502,2922,2366,3090,2726,3134,2040,866,622,0,912,820,188,2467,2773,1425
"AY676385",2222,2608,2258,1542,2142,2166,1408,1676,2362,2354,1980,2378,1994,1580,2340,1910,2102,2398,2266,1852,318,564,912,0,302,974,2261,2443,1491
"AY676407",2650,2800,2310,1722,2446,2390,1606,1826,2754,2830,2230,2352,2276,1636,2710,1826,2144,2460,2934,1802,198,558,820,302,0,702,2583,2913,1587
"KF709426",2544,3162,2628,2484,3072,3138,2464,2830,2534,2734,2252,2474,2140,2286,2724,2366,3014,2746,3130,2054,782,620,188,974,702,0,2415,2763,1547
"KM222447",727,3187,2829,2829,3307,2955,2573,2929,847,821,689,2227,481,1543,695,2653,3019,3095,713,2251,2561,2645,2467,2261,2583,2415,0,240,2008
"KM216708",615,3433,3105,3087,3419,2975,2615,3259,963,731,583,2569,515,1773,611,3043,3255,3513,517,2637,2887,2965,2773,2443,2913,2763,240,0,2650
"KM222448",2783,3667,3163,2569,3493,3407,2623,2675,2679,2743,2683,2939,2465,2215,2905,3111,2845,3475,2995,2761,1761,1709,1425,1491,1587,1547,2008,2650,0
