"","X.1","X","N_Accesion","gi","Title","Serotype","Genotype","Gene","Size_sequence","Country","Location","Year","Month","lat_country","lon_country","locationtype_country","formatted_country","lat_location","lon_location","locationtype_location","formatted_location","Comments"
"1",1381,8643,"FJ639670",221071158,"Dengue_virus_1_isolate_DENV_1_KH_BID_V1979_2001_complete_genome","DENV_1",NA,"Complete_Genome",10693,"Cambodia","PHP",2001,NA,12.565679,104.990963,"APPROXIMATE","Cambodia",NA,NA,NA,NA,"Cambodia_PHP_cell_supernatant_2001_passage_history_AP61_passage_number_unknown_cohort_population_Dengue_Surveillance"
"2",1293,8860,"FJ461303",217302380,"Dengue_virus_1_isolate_DENV_1_VN_BID_V971_2007_complete_genome","DENV_1",NA,"Complete_Genome",10691,"Viet Nam","South Viet Nam",2007,NA,14.058324,108.277199,"APPROXIMATE","Vietnam",14.058324,108.277199,"APPROXIMATE","Vietnam","Viet_Nam_South_plasma_2007_cohort_population_FG"
"4",2819,2290,"KF289073",613790718,"Dengue_virus_1_isolate_P23086_complete_genome","DENV_1",NA,"Complete_Genome",10690,"India",NA,1956,NA,20.593684,78.96288,"APPROXIMATE","India",NA,NA,NA,NA,"India_1956"
"5",2824,2421,"KP723473",891070663,"Dengue_virus_1_isolate_DENV1_CN_GZ27_2014_complete_genome","DENV_1","V","Complete_Genome",10630,"China","Guangdong",2014,NA,35.86166,104.195397,"APPROXIMATE","China",23.3790333,113.7632828,"APPROXIMATE","Guangdong, China","V_China_Guangdong_2014"
"6",1087,11610,"FJ196847",224551981,"Dengue_virus_1_isolate_GD01_97_polyprotein_gene_complete_cds","DENV_1",NA,"Complete_Genome",10735,"China","Guangzhou",1997,NA,35.86166,104.195397,"APPROXIMATE","China",23.12911,113.264385,"APPROXIMATE","Guangzhou, Guangdong, China","China_Guangzhou_Guangdong_Province_cell_culture_from_Aedes_albopictus_cell_line__C6_36__1997"
"7",1086,11611,"FJ196846",224551979,"Dengue_virus_1_isolate_GD95_95_polyprotein_gene_complete_cds","DENV_1",NA,"Complete_Genome",10735,"China","Guangzhou",1995,NA,35.86166,104.195397,"APPROXIMATE","China",23.12911,113.264385,"APPROXIMATE","Guangzhou, Guangdong, China","China_Guangzhou_Guangdong_Province_cell_culture_from_Aedes_albopictus_cell_line__C6_36__1995"
"8",1085,11612,"FJ196845",224551977,"Dengue_virus_1_isolate_GD03_91_polyprotein_gene_complete_cds","DENV_1",NA,"Complete_Genome",10735,"China","Guangzhou",1991,NA,35.86166,104.195397,"APPROXIMATE","China",23.12911,113.264385,"APPROXIMATE","Guangzhou, Guangdong, China","China_Guangzhou_Guangdong_Province_cell_culture_from_Aedes_albopictus_cell_line__C6_36__1991"
"9",1082,11615,"FJ196842",224551971,"Dengue_virus_1_isolate_GD66_03_polyprotein_gene_complete_cds","DENV_1",NA,"Complete_Genome",10735,"China","Guangzhou",2003,NA,35.86166,104.195397,"APPROXIMATE","China",23.12911,113.264385,"APPROXIMATE","Guangzhou, Guangdong, China","China_Guangzhou_Guangdong_Province_cell_culture_from_Aedes_albopictus_cell_line__C6_36__2003"
"10",2265,7722,"GU131863",263612994,"Dengue_virus_1_isolate_DENV_1_BR_BID_V3490_2008_complete_genome","DENV_1",NA,"Complete_Genome",10532,"Brazil","Sao Paulo",2008,NA,-14.235004,-51.92528,"APPROXIMATE","Brazil",-23.5505199,-46.6333094,"APPROXIMATE","São Paulo, State of São Paulo, Brazil","Brazil_Sao_Paulo_serum_2008_cohort_population_RP_BR"
"11",1824,11354,"JF459993",344165818,"Dengue_virus_1_strain_49440_from_Myanmar_complete_genome","DENV_1",NA,"Complete_Genome",10735,"Myanmar",NA,2002,NA,21.916221,95.955974,"APPROXIMATE","Myanmar (Burma)",NA,NA,NA,NA,"Myanmar_isolated_from_serum_cultured_in_mosquito_cell_line_C6_36_2002"
